name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,03/31/2000
TotalRevenue,"3,952,584,000","1,031,099,000","1,015,906,000","1,010,808,000","894,771,000","834,520,000","734,144,000","352,314,000","550,963,000","649,787,000","607,341,000","600,697,000","548,971,000","534,020,000","505,289,000","490,259,000","436,924,000","421,323,000","385,267,000","356,482,000","310,341,000","293,203,000","278,589,000","269,362,000","238,720,000","230,276,000","207,636,000","209,488,000","198,086,000","198,600,000","189,876,000","192,531,000","180,646,000","178,292,000","164,506,000","163,828,000","153,580,000","142,840,000","136,496,000","145,626,000","135,079,000","128,905,000","125,894,000","120,086,000","104,856,000","92,893,000","95,947,000","108,196,000","90,090,000","86,616,000","79,269,000","76,316,000","70,132,000","74,125,000","75,173,000","79,902,000","74,776,000","72,517,000","71,451,000","76,603,000","63,761,000","55,191,000","49,034,000","53,221,000","48,908,000","51,164,000","50,866,000","53,940,000","51,155,000","43,655,000","45,766,000","44,204,000","39,205,000","36,502,000","34,038,000","29,225,000","24,735,000","22,426,000","18,573,000","17,255,000","17,141,000","12,300,000","12,912,000","13,483,000","7,689,000","629,000"
	OperatingRevenue,"3,952,584,000","1,031,099,000","1,015,906,000","1,010,808,000","894,771,000","834,520,000","734,144,000","352,314,000","550,963,000","649,787,000","607,341,000","600,697,000","548,971,000","534,020,000","505,289,000","490,259,000","436,924,000","421,323,000","385,267,000","356,482,000","310,341,000","293,203,000","278,589,000","269,362,000","238,720,000","230,276,000","207,636,000","209,488,000","198,086,000","198,600,000","189,876,000","192,531,000","180,646,000","178,292,000","164,506,000","163,828,000","153,580,000","142,840,000","136,496,000","145,626,000","135,079,000","128,905,000","125,894,000","120,086,000","104,856,000","92,893,000","95,947,000","108,196,000","90,090,000","86,616,000","79,269,000","76,316,000","70,132,000","74,125,000","75,173,000","79,902,000","74,776,000","72,517,000","71,451,000","76,603,000","63,761,000","55,191,000","49,034,000","53,221,000","48,908,000","51,164,000","50,866,000","53,940,000","51,155,000","43,655,000","45,766,000","44,204,000","39,205,000","36,502,000","34,038,000","29,225,000","24,735,000","22,426,000","18,573,000","17,255,000","17,141,000","12,300,000","12,912,000","13,483,000","7,689,000","629,000"
CostOfRevenue,"1,017,229,000","286,536,000","260,750,000","252,270,000","217,673,000","224,057,000","200,056,000","127,986,000","156,607,000","177,829,000","169,787,000","168,408,000","146,875,000","150,924,000","133,508,000","124,677,000","109,516,000","103,406,000","92,779,000","85,565,000","74,716,000","72,954,000","69,387,000","64,146,000","58,093,000","57,466,000","50,060,000","50,854,000","46,996,000","47,938,000","44,822,000","47,055,000","43,395,000","41,816,000","39,416,000","40,137,000","40,731,000","36,362,000","36,146,000","36,826,000","34,319,000","33,355,000","33,524,000","28,949,000","22,630,000","21,137,000","21,014,000","21,178,000","20,380,000","22,810,000","20,268,000","18,338,000","17,425,000","20,233,000","18,766,000","20,243,000","19,608,000","19,127,000","18,132,000","20,247,000","17,529,000","17,197,000","16,789,000","16,492,000","14,297,000","16,711,000","14,975,000","16,620,000","15,478,000","14,961,000","14,922,000","14,250,000","13,393,000","12,926,000","13,446,000","13,269,000","11,810,000","11,831,000","10,880,000","10,774,000","12,505,000","10,182,000","11,265,000","13,830,000","10,055,000","2,026,000"
GrossProfit,"2,935,355,000","744,563,000","755,156,000","758,538,000","677,098,000","610,463,000","534,088,000","224,328,000","394,356,000","471,958,000","437,554,000","432,289,000","402,096,000","383,096,000","371,781,000","365,582,000","327,408,000","317,917,000","292,488,000","270,917,000","235,625,000","220,249,000","209,202,000","205,216,000","180,627,000","172,810,000","157,576,000","158,634,000","151,090,000","150,662,000","145,054,000","145,476,000","137,251,000","136,476,000","125,090,000","123,691,000","112,849,000","106,478,000","100,350,000","108,800,000","100,760,000","95,550,000","92,370,000","91,137,000","82,226,000","71,756,000","74,933,000","87,018,000","69,710,000","63,806,000","59,001,000","57,978,000","52,707,000","53,892,000","56,407,000","59,659,000","55,168,000","53,390,000","53,319,000","56,356,000","46,232,000","37,994,000","32,245,000","36,729,000","34,611,000","34,453,000","35,891,000","37,320,000","35,677,000","28,694,000","30,844,000","29,954,000","25,812,000","23,576,000","20,592,000","15,956,000","12,925,000","10,595,000","7,693,000","6,481,000","4,636,000","2,118,000","1,647,000","-347,000","-2,366,000","-1,397,000"
OperatingExpense,"1,958,955,000","523,671,000","493,996,000","489,636,000","451,652,000","397,279,000","357,019,000","297,328,000","324,438,000","320,808,000","317,194,000","306,799,000","284,613,000","262,623,000","246,573,000","242,891,000","229,216,000","208,311,000","193,725,000","187,348,000","173,952,000","151,877,000","147,123,000","140,080,000","127,293,000","113,471,000","119,530,000","116,309,000","102,166,000","99,169,000","93,507,000","96,744,000","95,447,000","83,554,000","83,626,000","85,790,000","83,911,000","77,481,000","71,182,000","72,788,000","72,754,000","69,120,000","66,058,000","74,542,000","61,203,000","56,986,000","53,010,000","41,674,000","49,013,000","49,161,000","119,195,000","51,316,000","46,513,000","48,525,000","48,527,000","55,787,000","50,542,000","48,378,000","44,924,000","42,908,000","39,232,000","56,061,000","43,210,000","40,020,000","39,824,000","33,790,000","37,430,000","36,127,000","33,548,000","28,038,000","26,993,000","25,613,000","24,895,000","23,106,000","22,340,000","24,142,000","21,509,000","24,760,000","24,314,000","25,033,000","23,435,000","22,945,000","24,673,000","23,220,000","27,560,000","6,651,000"
	SellingGeneralAndAdministration,"1,708,640,000","451,195,000","428,409,000","431,921,000","397,115,000","348,392,000","312,492,000","256,967,000","282,906,000","279,481,000","277,514,000","267,948,000","247,110,000","226,819,000","213,873,000","212,087,000","199,625,000","182,141,000","169,524,000","162,964,000","151,148,000","130,268,000","126,708,000","121,467,000","112,210,000","99,582,000","101,751,000","100,625,000","88,281,000","85,893,000","80,653,000","83,455,000","82,067,000","72,584,000","72,711,000","74,874,000","72,629,000","64,939,000","60,360,000","61,239,000","61,343,000","58,569,000","56,264,000","64,680,000","51,813,000","67,425,000","46,418,000","35,278,000","42,897,000","113,053,000","43,911,000","45,647,000","41,322,000","42,574,000","42,609,000","48,786,000","43,247,000","41,768,000","38,175,000","36,233,000","35,335,000","51,113,000","38,403,000","35,995,000","35,130,000","29,863,000","33,030,000","30,772,000","28,645,000","24,032,000","22,147,000","22,055,000","21,549,000","19,804,000","19,227,000","20,430,000","18,524,000","20,792,000","21,417,000","22,027,000","20,342,000","19,466,000","21,229,000","19,004,000","23,616,000","5,594,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,273,000","28,285,000","27,069,000","29,179,000","27,890,000","27,487,000","27,027,000","30,348,000","27,170,000","23,892,000","22,152,000","22,626,000","22,457,000","21,609,000","26,094,000","18,992,000","37,202,000","19,513,000","6,339,000","14,951,000","85,160,000","16,224,000","16,539,000","13,468,000",,,,,,,,,,,,"15,064,000",,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,273,000","28,285,000","27,069,000","29,179,000","27,890,000","27,487,000","27,027,000","30,348,000","27,170,000","23,892,000","22,152,000","22,626,000","22,457,000","21,609,000","26,094,000","18,992,000","37,202,000","19,513,000","6,339,000","14,951,000","85,160,000","16,224,000","16,539,000","13,468,000",,,,,,,,,,,,"15,064,000",,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,620,000","52,368,000","56,386,000","52,888,000","44,694,000","45,224,000","47,847,000","42,281,000","37,769,000","36,468,000","39,087,000","38,717,000","36,112,000","34,655,000","38,586,000","32,821,000","30,223,000","26,905,000","28,939,000","27,946,000","27,893,000","27,687,000","29,108,000","27,854,000",,,,,,,,,,,,"20,066,000",,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"250,315,000","72,476,000","65,587,000","57,715,000","54,537,000","48,887,000","44,527,000","40,361,000","41,532,000","41,327,000","39,680,000","38,851,000","37,503,000","35,804,000","32,700,000","30,804,000","29,591,000","26,170,000","24,201,000","24,384,000","22,804,000","21,609,000","20,415,000","18,613,000","15,083,000","13,889,000","17,779,000","15,684,000","13,885,000","13,276,000","12,854,000","13,289,000","13,380,000","10,970,000","10,915,000","10,916,000","11,282,000","11,711,000","9,952,000","10,680,000","10,526,000","9,568,000","8,926,000","9,270,000","9,390,000","6,893,000","6,592,000","6,396,000","6,116,000","5,781,000","5,611,000","5,669,000","5,191,000","5,951,000","5,918,000","7,001,000","7,295,000","6,610,000","6,749,000","6,675,000","5,693,000","4,948,000","4,807,000","4,025,000","4,694,000","3,927,000","4,400,000","5,355,000","4,903,000","4,006,000","4,846,000","3,558,000","3,346,000","3,302,000","3,113,000","3,712,000","2,985,000","3,968,000","2,997,000","3,006,000","3,093,000","3,479,000","3,444,000","3,816,000","3,944,000","1,057,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"831,000","870,000","869,000","885,000","983,000","868,000","592,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,499,000",
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"831,000","870,000","869,000","885,000","983,000","868,000","592,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,499,000",
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"831,000","870,000","869,000","885,000","983,000","868,000","592,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"831,000","870,000","869,000","885,000","983,000","868,000","592,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,310,000","-8,666,000",,,"69,673,000",,,,,,,"0",,,"-1,796,000",,,,,,,,,,,,,,,,,,"-100,000",,,"0",,"400,000","-1,499,000",
OperatingIncome,"976,400,000","220,892,000","261,160,000","268,902,000","225,446,000","213,184,000","177,069,000","-73,000,000","69,918,000","151,150,000","120,360,000","125,490,000","117,483,000","120,473,000","125,208,000","122,691,000","98,192,000","109,606,000","98,763,000","83,569,000","61,673,000","68,372,000","62,079,000","65,136,000","53,334,000","59,339,000","38,046,000","42,325,000","48,924,000","51,493,000","51,547,000","48,732,000","41,804,000","52,922,000","41,464,000","37,901,000","28,938,000","28,997,000","29,168,000","36,012,000","28,006,000","26,430,000","26,312,000","16,595,000","21,023,000","14,770,000","21,923,000","45,344,000","20,697,000","14,645,000","-60,194,000","6,662,000","6,194,000","5,367,000","7,880,000","3,872,000","4,626,000","5,012,000","8,395,000","13,448,000","7,000,000","-18,067,000","-10,965,000","-3,291,000","-5,213,000","663,000","-1,539,000","1,193,000","2,129,000","656,000","3,851,000","4,341,000","917,000","470,000","-1,748,000","-8,186,000","-8,584,000","-14,165,000","-16,621,000","-18,552,000","-18,799,000","-20,827,000","-23,026,000","-23,567,000","-29,926,000","-8,048,000"
NetNonOperatingInterestIncomeExpense,"3,103,000","676,000","401,000","383,000","1,643,000","337,000","329,000","473,000","1,986,000","2,906,000","3,478,000","3,465,000","2,633,000","2,249,000","2,234,000","1,917,000","2,176,000","2,581,000","3,750,000","3,212,000","1,645,000","-7,516,000","1,463,000","125,000","-427,000","313,000","-1,568,000","174,000","-1,452,000","-1,716,000","-1,999,000","-93,000","601,000",,"449,000","-335,000","-988,000","157,000","200,000","541,000","-800,000","101,000","100,000","-306,000","200,000","1,016,000","-83,000","156,000","100,000","60,000","-271,000","557,000","200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"3,103,000","676,000","401,000","383,000","1,643,000","337,000","329,000","473,000","1,986,000","2,906,000","3,478,000","3,465,000","2,633,000","2,249,000","2,234,000","1,917,000","2,176,000",,,,,,,,,,,,,,,,,,,,,"157,000","200,000",,"200,000","152,000","100,000",,"200,000","155,000","200,000",,"100,000",,,,"200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000",,,,,"-861,000","283,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,"-2,581,000","-3,750,000","-3,212,000","-1,645,000","7,516,000","-1,463,000","-125,000","427,000","-313,000","1,568,000","-174,000","1,452,000","1,716,000","1,999,000","93,000","-601,000",,"-449,000","335,000","988,000","672,000","353,000","-541,000","812,000","84,000","118,000","306,000","-89,000",,"83,000","-156,000","553,000",,"271,000","-557,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"32,920,000","-1,556,000","427,000","-483,000","34,532,000","1,021,000","7,147,000","-966,000","-18,549,000","1,741,000","4,581,000","64,892,000","-35,528,000","-730,000","-837,000","-7,099,000","177,000",,,,,,,,,,,,,,,,,"-1,073,000",,,"-68,001,000","-12,755,000","-25,218,000",,,"-185,000","-218,000",,"-111,000",,,,"-700,000","-375,000",,"-409,000","-962,000","-5,508,000","-2,189,000",,,"-758,000",,,"1,796,000",,,,,,,"-238,000","-60,000",,,"-175,000","-227,000","-101,000","-396,000",,"-198,000",,,,,"-2,144,000","523,000","-400,000",,
	SpecialIncomeCharges,"0",,,,,"0","0","0","0","0","6,792,000","51,000,000","-29,782,000",,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-67,013,000","-10,702,000","-25,218,000",,,"-185,000","-218,000","0","-111,000","-1,267,000","0","0","-700,000","-375,000","0","-409,000","-962,000","-5,508,000","-2,189,000",,,"-758,000",,,"1,796,000",,,,,,,"-238,000","-60,000",,,"-175,000","-227,000","-101,000","-396,000",,"-198,000",,,,,"-2,144,000","523,000","-400,000",,
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","409,000","910,000","4,042,000","2,189,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"0",,,,,"0","0","0","0","0","-6,792,000","0","29,782,000",,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","67,013,000","11,926,000","24,665,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,,,,,,,"0","0","6,792,000","0","29,782,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,"0",,"-51,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"553,000",,,,,,,,,,"700,000",,,,"52,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"32,920,000","-1,556,000","427,000","-483,000","34,532,000","1,021,000","7,147,000","-966,000","-18,549,000","1,741,000","-2,211,000","13,892,000","-5,746,000","-730,000","-837,000","-7,099,000","177,000",,,,,,,,,,,,,,,,,,,,"-988,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,012,423,000","220,012,000","261,988,000","268,802,000","261,621,000","214,542,000","184,545,000","-73,493,000","53,355,000","155,797,000","128,419,000","193,847,000","84,588,000","121,992,000","126,605,000","117,509,000","100,545,000","112,187,000","102,513,000","86,781,000","63,318,000","60,856,000","63,542,000","65,261,000","52,907,000","59,652,000","36,478,000","42,499,000","47,472,000","49,777,000","49,548,000","48,639,000","42,405,000","52,723,000","41,913,000","37,566,000","-39,063,000","16,399,000","4,150,000","36,553,000","27,194,000","26,346,000","26,194,000","16,289,000","21,112,000","14,519,000","21,840,000","45,500,000","20,144,000","14,330,000","-60,465,000","6,810,000","5,432,000","1,214,000","5,955,000","4,315,000","5,592,000","5,864,000","9,503,000","14,128,000","7,455,000","-17,059,000","-10,111,000","-2,450,000","-4,515,000","918,000","-1,213,000","955,000","2,069,000","1,272,000","3,634,000","4,166,000","690,000",,,,,"-13,913,000","-16,890,000",,,,,,,
TaxProvision,"240,403,000","29,051,000","81,019,000","69,088,000","61,245,000","55,554,000","45,174,000","-32,891,000","-1,464,776,000","34,535,000","25,895,000","43,121,000","8,796,000","22,517,000","24,601,000","7,703,000","2,902,000","103,654,000","18,344,000","15,387,000","-7,223,000","12,028,000","11,698,000","15,113,000","12,361,000","10,775,000","8,862,000","11,149,000","11,295,000","10,236,000","11,301,000","13,039,000","9,961,000","10,302,000","7,376,000","8,246,000","2,920,000","6,840,000","4,494,000","8,061,000","6,210,000","5,897,000","6,930,000","5,127,000","5,271,000","4,614,000","5,025,000","12,897,000","5,214,000","2,838,000","-10,523,000","2,265,000","2,796,000","-64,282,000","798,000","285,000","288,000","196,000","43,000","510,000","477,000","210,000","209,000","160,000","249,000","390,000","303,000","417,000","206,000","151,000","316,000","394,000","133,000",,,,,,,,,,,,,
EarningsFromEquityInterestNetOfTax,"0",,,,,"0","0","0","0","0","0","-3,584,000","-3,944,000","-2,083,000","-1,132,000","-3,701,000","-1,777,000","1,731,000","-1,614,000","-2,215,000","-1,121,000","-1,207,000","-477,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"772,020,000","190,961,000","180,969,000","199,714,000","200,376,000","158,988,000","139,371,000","-40,602,000","1,518,131,000","121,262,000","102,524,000","147,142,000","71,848,000","97,392,000","100,872,000","106,105,000","95,866,000","10,264,000","82,555,000","69,179,000","69,420,000","47,621,000","51,367,000","50,148,000","40,546,000","48,877,000","27,616,000","31,350,000","36,177,000","39,541,000","38,247,000","35,600,000","32,444,000","42,421,000","34,537,000","29,320,000","-41,983,000","9,559,000","-344,000","28,492,000","20,984,000","20,449,000","19,264,000","11,162,000","15,841,000","9,905,000","16,815,000","32,603,000","14,930,000","11,492,000","-49,942,000","4,545,000","2,636,000","65,496,000","5,157,000","4,030,000","5,304,000","5,668,000","9,460,000","13,618,000","6,978,000","-17,269,000","-10,320,000","-2,610,000","-4,764,000","528,000","-1,516,000","538,000","1,863,000","1,121,000","3,318,000","3,772,000","557,000","452,000","-2,144,000","-7,759,000","-8,782,000","-13,913,000","-16,890,000","-18,816,000","-18,502,000","-20,719,000","-22,503,000","-22,294,000","-43,149,000","-8,080,000"
