name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
TotalRevenue,"3,342,200,000","963,600,000","867,200,000","801,100,000","710,300,000","748,000,000","651,100,000","615,500,000","576,900,000","614,400,000","547,500,000","521,700,000","472,600,000","507,000,000","453,900,000","441,300,000","399,000,000","416,668,000","374,217,000","363,469,000","340,576,000","362,830,000","316,646,000","311,391,000","284,576,000","296,529,000","260,068,000","239,785,000","212,886,000","223,969,000","193,348,000","184,098,000","168,949,000","177,350,000","154,699,000","147,428,000","135,820,000","151,162,000","136,268,000","128,962,000","117,247,000","120,861,000","116,426,000","103,023,000","93,266,000","93,599,000","84,971,000","76,331,000","69,795,000","70,712,000","65,864,000","61,345,000","54,194,000","59,066,000","54,414,000"
	OperatingRevenue,"3,342,200,000","963,600,000","867,200,000","801,100,000","710,300,000","748,000,000","651,100,000","615,500,000","576,900,000","614,400,000","547,500,000","521,700,000","472,600,000","507,000,000","453,900,000","441,300,000","399,000,000","416,668,000","374,217,000","363,469,000","340,576,000","362,830,000","316,646,000","311,391,000","284,576,000","296,529,000","260,068,000","239,785,000","212,886,000","223,969,000","193,348,000","184,098,000","168,949,000","177,350,000","154,699,000","147,428,000","135,820,000","151,162,000","136,268,000","128,962,000","117,247,000","120,861,000","116,426,000","103,023,000","93,266,000","93,599,000","84,971,000","76,331,000","69,795,000","70,712,000","65,864,000","61,345,000","54,194,000","59,066,000","54,414,000"
CostOfRevenue,"783,000,000","228,300,000","211,200,000","186,900,000","156,600,000","167,000,000","139,200,000","135,100,000","128,700,000","140,500,000","124,100,000","128,300,000","113,000,000","128,500,000","111,600,000","113,100,000","97,200,000","105,419,000","93,649,000","95,652,000","90,564,000","90,891,000","84,799,000","84,503,000","77,749,000","81,976,000","71,701,000","69,498,000","63,602,000","65,624,000","56,885,000","57,757,000","50,743,000","53,877,000","43,930,000","43,708,000","39,128,000","41,442,000","37,808,000","37,127,000","31,043,000","32,485,000","31,139,000","26,558,000","23,416,000","24,223,000","21,443,000","20,165,000","19,375,000","20,909,000","17,433,000","16,979,000","14,654,000","17,854,000","15,840,000"
GrossProfit,"2,559,200,000","735,300,000","656,000,000","614,200,000","553,700,000","581,000,000","511,900,000","480,400,000","448,200,000","473,900,000","423,400,000","393,400,000","359,600,000","378,500,000","342,300,000","328,200,000","301,800,000","311,249,000","280,568,000","267,817,000","250,012,000","271,939,000","231,847,000","226,888,000","206,827,000","214,553,000","188,367,000","170,287,000","149,284,000","158,345,000","136,463,000","126,341,000","118,206,000","123,473,000","110,769,000","103,720,000","96,692,000","109,720,000","98,460,000","91,835,000","86,204,000","88,376,000","85,287,000","76,465,000","69,850,000","69,376,000","63,528,000","56,166,000","50,420,000","49,803,000","48,431,000","44,366,000","39,540,000","41,212,000","38,574,000"
OperatingExpense,"1,913,400,000","521,600,000","490,700,000","467,900,000","433,200,000","412,800,000","386,100,000","364,800,000","369,100,000","355,500,000","323,400,000","318,200,000","309,000,000","293,400,000","279,500,000","277,500,000","269,400,000","269,051,000","246,872,000","239,407,000","244,172,000","225,913,000","224,076,000","230,380,000","212,171,000","199,969,000","184,324,000","167,335,000","148,386,000","138,429,000","121,012,000","115,199,000","105,391,000","98,830,000","92,490,000","89,943,000","81,301,000","74,680,000","72,690,000","70,885,000","67,489,000","61,856,000","59,127,000","57,686,000","52,405,000","48,678,000","45,369,000","46,386,000","43,716,000","42,349,000","38,755,000","39,391,000","36,311,000","34,939,000","35,354,000"
	SellingGeneralAndAdministration,"1,489,200,000","409,000,000","382,900,000","361,300,000","336,000,000","323,800,000","296,100,000","282,700,000","288,800,000","284,300,000","253,500,000","250,800,000","240,400,000","227,900,000","220,800,000","216,300,000","210,300,000","214,277,000","193,386,000","188,248,000","192,977,000","180,324,000","176,837,000","184,878,000","167,205,000","157,155,000","142,214,000","129,946,000","112,570,000","105,332,000","90,222,000","85,261,000","76,336,000","71,083,000","66,069,000","64,785,000","57,967,000","54,155,000","52,192,000","50,497,000","47,822,000","45,476,000","42,293,000","41,744,000","37,984,000","35,876,000","32,980,000","33,710,000","31,782,000","31,361,000","27,958,000","28,857,000","26,435,000","26,090,000","25,397,000"
		GeneralAndAdministrativeExpense,"143,500,000","41,300,000","35,800,000","34,400,000","32,000,000","32,400,000","29,400,000","28,900,000","28,800,000","27,200,000","26,100,000","24,300,000","24,500,000","22,000,000","22,500,000","23,500,000","25,000,000","22,349,000","21,025,000","21,911,000","22,577,000","17,451,000","22,006,000","22,184,000","19,802,000","20,315,000","21,220,000","18,018,000","11,961,000","12,104,000","9,789,000","10,444,000","9,010,000","8,752,000","9,382,000","8,788,000","7,991,000","6,038,000","7,449,000","6,238,000","5,786,000","5,492,000","5,359,000","5,848,000","5,266,000","5,395,000","5,993,000","5,933,000","5,059,000","4,642,000","4,490,000","4,516,000","4,672,000","4,273,000","3,963,000"
			OtherGandA,"143,500,000","41,300,000","35,800,000","34,400,000","32,000,000","32,400,000","29,400,000","28,900,000","28,800,000","27,200,000","26,100,000","24,300,000","24,500,000","22,000,000","22,500,000","23,500,000","25,000,000","22,349,000","21,025,000","21,911,000","22,577,000","17,451,000","22,006,000","22,184,000","19,802,000","20,315,000","21,220,000","18,018,000","11,961,000","12,104,000","9,789,000","10,444,000","9,010,000","8,752,000","9,382,000","8,788,000","7,991,000","6,038,000","7,449,000","6,238,000","5,786,000","5,492,000","5,359,000","5,848,000","5,266,000","5,395,000","5,993,000","5,933,000","5,059,000","4,642,000","4,490,000","4,516,000","4,672,000","4,273,000","3,963,000"
		SellingAndMarketingExpense,"1,345,700,000","367,700,000","347,100,000","326,900,000","304,000,000","291,400,000","266,700,000","253,800,000","260,000,000","257,100,000","227,400,000","226,500,000","215,900,000","205,900,000","198,300,000","192,800,000","185,300,000","191,928,000","172,361,000","166,337,000","170,400,000","162,873,000","154,831,000","162,694,000","147,403,000","136,840,000","120,994,000","111,928,000","100,609,000","93,228,000","80,433,000","74,817,000","67,326,000","62,331,000","56,687,000","55,997,000","49,976,000","48,117,000","44,743,000","44,259,000","42,036,000","39,984,000","36,934,000","35,896,000","32,718,000","30,481,000","26,987,000","27,777,000","26,723,000","26,719,000","23,468,000","24,341,000","21,763,000","21,817,000","21,434,000"
	ResearchAndDevelopment,"424,200,000","112,600,000","107,800,000","106,600,000","97,200,000","89,000,000","90,000,000","82,100,000","80,300,000","71,200,000","69,900,000","67,400,000","68,600,000","65,500,000","58,700,000","61,200,000","59,100,000","54,774,000","53,486,000","51,159,000","51,195,000","45,589,000","47,239,000","45,502,000","44,966,000","42,814,000","42,110,000","37,389,000","35,816,000","33,097,000","30,790,000","29,938,000","29,055,000","27,747,000","26,421,000","25,158,000","23,334,000","20,525,000","20,498,000","20,388,000","19,667,000","16,380,000","16,834,000","15,942,000","14,421,000","12,802,000","12,389,000","12,676,000","11,934,000","10,988,000","10,797,000","10,534,000","9,876,000","8,849,000","9,957,000"
	OtherOperatingExpenses,,,,,,,"-1,100,000","-1,100,000","-36,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"645,800,000","213,700,000","165,300,000","146,300,000","120,500,000","168,200,000","125,800,000","115,600,000","79,100,000","118,400,000","100,000,000","75,200,000","50,600,000","85,100,000","62,800,000","50,700,000","32,400,000","42,198,000","33,696,000","28,410,000","5,840,000","46,026,000","7,771,000","-3,492,000","-5,344,000","14,584,000","4,043,000","2,952,000","898,000","19,916,000","15,451,000","11,142,000","12,815,000","24,643,000","18,279,000","13,777,000","15,391,000","35,040,000","25,770,000","20,950,000","18,715,000","26,520,000","26,160,000","18,779,000","17,445,000","20,698,000","18,159,000","9,780,000","6,704,000","7,454,000","9,676,000","4,975,000","3,229,000","6,273,000","3,220,000"
NetNonOperatingInterestIncomeExpense,"-10,400,000","-3,500,000","-3,400,000","-3,300,000","-200,000","2,000,000","2,500,000","4,000,000","9,200,000","9,900,000","11,400,000","11,000,000","10,200,000","9,300,000","6,900,000","5,800,000","4,500,000","4,061,000","3,866,000","3,163,000","2,392,000","1,964,000","1,888,000","1,705,000","1,746,000","1,176,000","1,333,000","1,364,000","1,422,000","1,402,000","1,339,000","1,319,000","1,333,000","1,318,000","1,282,000","1,337,000","1,369,000","1,400,000","1,318,000","1,203,000","1,085,000","963,000","904,000","863,000","793,000","634,000","514,000","399,000","268,000","304,000","428,000","535,000","714,000","742,000","595,000"
	InterestIncomeNonOperating,"4,500,000","1,000,000","1,200,000","1,200,000",,"2,000,000","2,500,000","4,000,000","9,200,000","9,900,000","11,400,000","11,000,000","10,200,000","9,300,000","6,900,000","5,800,000","4,500,000","4,061,000","3,866,000","3,163,000","2,392,000","1,964,000","1,888,000","1,705,000","1,746,000","1,176,000","1,333,000","1,364,000","1,422,000","1,402,000","1,339,000","1,319,000","1,333,000","1,318,000","1,282,000","1,337,000","1,369,000","1,400,000","1,318,000","1,203,000","1,085,000","963,000","904,000","863,000","793,000","634,000","514,000","399,000","268,000","304,000","428,000","535,000","714,000","742,000","595,000"
	InterestExpenseNonOperating,"14,900,000","4,500,000","4,600,000","4,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,"200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-7,000,000","-2,900,000","-5,200,000","2,000,000","-900,000","1,500,000","100,000","2,000,000","28,800,000","-600,000","-6,000,000","-400,000","-500,000","-2,300,000","900,000","-5,000,000","-200,000","-1,181,000","344,000","1,333,000","-128,000","-4,483,000","-3,070,000","-1,903,000","-1,640,000","-2,724,000","-6,536,000","-830,000","-677,000","-1,200,000","-1,005,000","-574,000","-389,000","-419,000","-1,151,000","-100,000","215,000","-170,000","-317,000","73,000","-71,000","-112,000","60,000","-207,000","-95,000","-250,000","-402,000","87,000","-250,000","50,000","-64,000","-282,000","494,000","1,539,000","875,000"
	SpecialIncomeCharges,,,,"1,200,000","1,100,000","1,200,000","1,100,000","1,100,000","36,800,000",,,,,"0","0",,"0","0","0","90,000","-430,000","-833,000","-2,283,000","-553,000","-328,000","-1,717,000","-5,883,000",,,,,,,,,,,,"-317,000","73,000","-71,000","-112,000","60,000","-207,000","-95,000","-250,000","-402,000","87,000","-250,000","50,000","-64,000","-282,000","494,000","1,539,000","875,000"
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,"0","0",,"0","0","0","-90,000","430,000","833,000","2,283,000","553,000","328,000","1,717,000","5,883,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,"-1,200,000","-1,100,000","-1,200,000","-1,100,000","-1,100,000","-36,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,"36,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-7,000,000","-2,900,000","-5,200,000","2,000,000","-900,000","1,500,000","100,000","2,000,000","28,800,000","-600,000","-6,000,000","-400,000","-500,000","-2,300,000","900,000","-5,000,000","-200,000","-1,181,000","344,000","1,243,000","302,000","-3,650,000","-787,000","-1,350,000","-1,312,000","-1,007,000","-653,000","-830,000","-677,000","-1,200,000","-1,005,000","-574,000","-389,000","-419,000","-1,151,000","-100,000","215,000","-170,000",,,,,,,,,,,,,,,,,
PretaxIncome,"628,400,000","207,300,000","156,700,000","145,000,000","119,400,000","171,700,000","128,400,000","121,600,000","117,100,000","127,700,000","105,400,000","85,800,000","60,300,000","92,100,000","70,600,000","51,500,000","36,700,000","45,078,000","37,906,000","32,906,000","8,104,000","43,507,000","6,589,000","-3,690,000","-5,238,000","13,036,000","-1,160,000","3,486,000","1,643,000","20,118,000","15,785,000","11,887,000","13,759,000","25,542,000","18,410,000","15,014,000","16,975,000","36,270,000","26,771,000","22,226,000","19,729,000","27,371,000","27,124,000","19,435,000","18,143,000","21,082,000","18,271,000","10,266,000","6,722,000","7,808,000","10,040,000","5,228,000","4,437,000","8,554,000","4,690,000"
TaxProvision,"14,100,000","3,700,000","-9,300,000","7,500,000","12,200,000","25,000,000","5,000,000","9,500,000","13,100,000","12,500,000","25,600,000","13,100,000","1,500,000","-90,500,000","11,900,000","2,200,000","-4,900,000","74,039,000","11,296,000","9,873,000","-2,613,000","18,341,000","298,000","-2,302,000","-1,809,000","15,570,000","-9,329,000","2,694,000","83,000","13,305,000","11,729,000","5,806,000","5,366,000","13,526,000","7,381,000","6,035,000","4,726,000","14,763,000","9,565,000","8,276,000","5,556,000","10,877,000","9,207,000","4,941,000","4,556,000","4,941,000","4,254,000","3,397,000","2,504,000","-36,132,000","2,151,000","652,000","663,000","611,000","183,000"
EarningsFromEquityInterestNetOfTax,"-7,600,000","-4,800,000","-2,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"606,800,000","199,000,000","163,100,000","137,500,000","107,200,000","146,700,000","123,400,000","112,100,000","104,000,000","115,200,000","79,800,000","72,700,000","58,800,000","182,600,000","58,700,000","49,300,000","41,600,000","-28,961,000","26,610,000","23,033,000","10,717,000","25,166,000","6,291,000","-1,388,000","-3,429,000","-2,534,000","8,169,000","792,000","1,560,000","6,813,000","4,056,000","6,081,000","8,393,000","12,016,000","11,029,000","8,979,000","12,249,000","21,507,000","17,206,000","13,950,000","14,173,000","16,494,000","17,917,000","14,494,000","13,587,000","16,141,000","14,017,000","6,869,000","4,218,000","53,206,000","7,889,000","4,576,000","3,774,000","7,943,000","4,507,000"
