name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
TotalRevenue,"9,168,000,000","2,328,000,000","2,277,000,000","2,134,000,000","2,429,000,000","2,233,000,000","1,930,000,000","1,966,000,000","2,115,000,000","1,667,000,000","1,663,000,000","1,634,000,000","1,583,000,000","1,677,000,000","1,463,000,000","1,556,000,000","1,580,000,000","1,439,000,000","1,432,000,000","1,494,000,000","1,469,000,000","1,484,000,000","1,416,000,000","1,504,000,000","1,554,000,000","1,302,000,000","1,151,000,000","1,073,000,000","1,156,000,000","1,144,000,000","1,006,000,000","1,011,000,000","1,198,000,000","733,623,000","337,871,000","371,609,000","351,897,000","323,371,000","323,187,000","351,213,000","365,194,000","327,215,000","340,778,000","325,218,000","334,280,000","285,023,000","287,146,000","296,155,000","281,620,000","256,554,000","256,264,000","250,417,000","231,553,000","207,260,000","201,444,000","197,160,000","207,214,000","159,296,000","151,735,000","136,654,000","126,608,000","95,264,000","94,662,000","73,591,000","50,282,000","41,262,000","38,201,000"
	OperatingRevenue,"9,168,000,000","2,328,000,000","2,277,000,000","2,134,000,000","2,429,000,000","2,457,000,000","1,855,000,000","1,892,000,000","2,040,000,000","1,601,000,000","1,596,000,000","1,571,000,000","1,519,000,000","1,612,000,000","1,402,000,000","1,501,000,000","1,527,000,000","1,385,000,000","1,378,000,000","1,445,000,000","1,424,000,000","1,438,000,000","1,372,000,000","1,462,000,000","1,509,000,000","1,256,000,000","1,105,000,000","1,016,000,000","1,100,000,000","1,266,000,000","899,000,000","900,000,000","1,064,000,000","629,289,000","320,095,000","359,003,000","340,613,000","314,423,000","315,124,000","343,979,000","358,458,000","301,047,000","340,778,000","325,218,000","334,280,000","285,023,000","287,146,000","292,046,000","281,620,000","256,554,000","256,264,000","250,417,000","231,553,000","207,260,000","201,444,000","197,160,000","207,214,000","159,296,000","151,735,000","136,654,000","126,608,000","95,264,000","94,662,000","73,591,000","50,282,000","41,262,000","38,201,000"
CostOfRevenue,"4,150,000,000","1,028,000,000","1,017,000,000","957,000,000","1,148,000,000","1,062,000,000","948,000,000","970,000,000","965,000,000","766,000,000","714,000,000","708,000,000","668,000,000","743,000,000","621,000,000","659,000,000","700,000,000","625,000,000","619,000,000","647,000,000","648,000,000","680,000,000","667,000,000","703,000,000","728,000,000","649,000,000","534,000,000","467,000,000","508,000,000","540,000,000","451,000,000","455,000,000","513,000,000","292,480,000","72,477,000","79,049,000","76,994,000","67,785,000","72,893,000","76,460,000","79,778,000","273,506,000","8,743,000","14,299,000","11,242,000","8,691,000","8,262,000","58,870,000","9,094,000","9,649,000","9,866,000","9,342,000","12,839,000","63,720,000","50,275,000","37,851,000","37,651,000","41,438,000","29,659,000","28,431,000","28,326,000","19,562,000","18,936,000","15,167,000",,,"330,000"
GrossProfit,"5,018,000,000","1,300,000,000","1,260,000,000","1,177,000,000","1,281,000,000","1,171,000,000","982,000,000","996,000,000","1,150,000,000","901,000,000","949,000,000","926,000,000","915,000,000","934,000,000","842,000,000","897,000,000","880,000,000","814,000,000","813,000,000","847,000,000","821,000,000","804,000,000","749,000,000","801,000,000","826,000,000","653,000,000","617,000,000","606,000,000","648,000,000","604,000,000","555,000,000","556,000,000","685,000,000","441,143,000","265,394,000","292,560,000","274,903,000","255,586,000","250,294,000","274,753,000","285,416,000","53,709,000","332,035,000","310,919,000","323,038,000","276,332,000","278,884,000","237,285,000","272,526,000","246,905,000","246,398,000","241,075,000","218,714,000","143,540,000","151,169,000","159,309,000","169,563,000","117,858,000","122,076,000","108,223,000","98,282,000","75,702,000","75,726,000","58,424,000",,,"37,871,000"
OperatingExpense,"1,467,000,000","360,000,000","368,000,000","368,000,000","371,000,000","376,000,000","279,000,000","250,000,000","256,000,000","278,000,000","243,000,000","245,000,000","250,000,000","257,000,000","234,000,000","227,000,000","218,000,000","213,000,000","213,000,000","229,000,000","225,000,000","227,000,000","261,000,000","230,000,000","215,000,000","181,000,000","169,000,000","169,000,000","167,000,000","177,000,000","185,000,000","192,000,000","215,000,000","145,446,000","57,175,000","59,454,000","56,925,000","53,855,000","53,958,000","55,091,000","56,771,000","-141,963,000","122,540,000","120,041,000","119,440,000","117,751,000","120,307,000","57,492,000","108,711,000","123,035,000","106,409,000","106,114,000","104,915,000","46,213,000","32,027,000","26,524,000","25,283,000","21,298,000","21,068,000","20,750,000","18,639,000","11,517,000","10,344,000","11,008,000","22,629,000","21,343,000","26,105,000"
	SellingGeneralAndAdministration,"458,000,000","110,000,000","115,000,000","117,000,000","116,000,000","119,000,000","99,000,000","93,000,000","99,000,000","89,000,000","85,000,000","88,000,000","92,000,000","100,000,000","86,000,000","84,000,000","80,000,000","82,000,000","85,000,000","87,000,000","91,000,000","87,000,000","80,000,000","84,000,000","72,000,000","83,000,000","75,000,000","76,000,000","78,000,000","88,000,000","102,000,000","111,000,000","127,000,000","84,071,000","22,784,000","26,386,000","24,759,000","20,308,000","21,094,000","22,983,000","24,788,000","-175,152,000","89,445,000","87,204,000","86,309,000","84,409,000","88,568,000","29,578,000","80,497,000","94,428,000","78,541,000","78,535,000","77,612,000","20,157,000","17,626,000","15,680,000","14,337,000","11,752,000","12,170,000","13,002,000","12,130,000","7,628,000","7,017,000","7,699,000","19,441,000","17,688,000","15,692,000"
		GeneralAndAdministrativeExpense,"458,000,000","110,000,000","115,000,000","117,000,000","116,000,000","119,000,000","99,000,000","93,000,000","99,000,000","89,000,000","85,000,000","88,000,000","92,000,000","100,000,000","86,000,000","84,000,000","80,000,000","82,000,000","85,000,000","87,000,000","91,000,000","87,000,000","80,000,000","84,000,000","72,000,000","83,000,000","75,000,000","76,000,000","78,000,000","88,000,000","102,000,000","111,000,000","127,000,000","84,071,000","22,784,000","26,386,000","24,759,000","20,308,000","21,094,000","22,983,000","24,788,000","-175,152,000","89,445,000","87,204,000","86,309,000","84,409,000","88,568,000","29,578,000","80,497,000","94,428,000","78,541,000","78,535,000","77,612,000",,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,"278,000,000","274,000,000","261,000,000","259,000,000","248,000,000","262,000,000","251,000,000","241,000,000","240,000,000","227,000,000","231,000,000","234,000,000","245,000,000","237,000,000","236,000,000","236,000,000","236,000,000","166,000,000","150,000,000","144,000,000","151,000,000","144,000,000","144,000,000","150,000,000","199,000,000","138,604,000","59,550,000","66,632,000","66,214,000","56,556,000","61,820,000","64,700,000","68,076,000","62,650,000","64,137,000","62,176,000","61,638,000","56,953,000","62,586,000","58,870,000","58,240,000","69,446,000","55,928,000","55,597,000","54,706,000",,,,,,,,,,,,,,
			RentAndLandingFees,"84,000,000","23,000,000","20,000,000","20,000,000","21,000,000","22,000,000","19,000,000","19,000,000","21,000,000","16,000,000","17,000,000","18,000,000","17,000,000","18,000,000","17,000,000","16,000,000","17,000,000","17,000,000","17,000,000","17,000,000","18,000,000","18,000,000","17,000,000","17,000,000","18,000,000","12,000,000","14,000,000","15,000,000","16,000,000","17,000,000","19,000,000","22,000,000","31,000,000","20,279,000","5,154,000","9,305,000","8,262,000","4,785,000","5,167,000","4,915,000","4,462,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"374,000,000","87,000,000","95,000,000","97,000,000","95,000,000","97,000,000","80,000,000","74,000,000","78,000,000","73,000,000","68,000,000","70,000,000","75,000,000","82,000,000","69,000,000","68,000,000","63,000,000","65,000,000","68,000,000","70,000,000","73,000,000","69,000,000","63,000,000","67,000,000","54,000,000","71,000,000","61,000,000","61,000,000","62,000,000","71,000,000","83,000,000","89,000,000","96,000,000","63,792,000","17,630,000","17,081,000","16,497,000","15,523,000","15,927,000","18,068,000","20,326,000","-6,267,000","25,308,000","25,028,000","24,671,000","27,456,000","25,982,000","29,578,000","22,257,000","24,982,000","22,613,000","22,938,000","22,906,000",,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"1,009,000,000","250,000,000","253,000,000","251,000,000","255,000,000","257,000,000","180,000,000","157,000,000","157,000,000","189,000,000","158,000,000","157,000,000","158,000,000","157,000,000","148,000,000","143,000,000","138,000,000","131,000,000","128,000,000","142,000,000","134,000,000","140,000,000","181,000,000","146,000,000","143,000,000","98,000,000","94,000,000","93,000,000","89,000,000","89,000,000","83,000,000","81,000,000","88,000,000","61,375,000","34,391,000","33,068,000","32,166,000","33,547,000","32,864,000","32,108,000","31,983,000","33,189,000","33,095,000","32,837,000","33,131,000","33,342,000","31,739,000","27,914,000","28,214,000","28,607,000","27,868,000","27,579,000","27,303,000","26,056,000","14,401,000","10,844,000","10,946,000","9,546,000","8,898,000","7,748,000","6,509,000","3,890,000","3,327,000","3,309,000","3,188,000","3,655,000","3,809,000"
		DepreciationAndAmortizationInIncomeStatement,"1,009,000,000","250,000,000","253,000,000","251,000,000","255,000,000","257,000,000","180,000,000","157,000,000","157,000,000","189,000,000","158,000,000","157,000,000","158,000,000","157,000,000","148,000,000","143,000,000","138,000,000","131,000,000","128,000,000","142,000,000","134,000,000","140,000,000","181,000,000","146,000,000","143,000,000","98,000,000","94,000,000","93,000,000","89,000,000","89,000,000","83,000,000","81,000,000","88,000,000","61,375,000","34,391,000","33,068,000","32,166,000","33,547,000","32,864,000","32,108,000","31,983,000","33,189,000","33,095,000","32,837,000","33,131,000","33,342,000","31,739,000","27,914,000","28,214,000","28,607,000","27,868,000","27,579,000","27,303,000","26,056,000","14,401,000","10,844,000","10,946,000","9,546,000","8,898,000","7,748,000","6,509,000","3,890,000","3,327,000","3,309,000","3,188,000","3,655,000","3,809,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","6,604,000"
OperatingIncome,"3,551,000,000","940,000,000","892,000,000","809,000,000","910,000,000","795,000,000","703,000,000","746,000,000","894,000,000","623,000,000","706,000,000","681,000,000","665,000,000","677,000,000","608,000,000","670,000,000","662,000,000","601,000,000","600,000,000","618,000,000","596,000,000","577,000,000","488,000,000","571,000,000","611,000,000","472,000,000","448,000,000","437,000,000","481,000,000","427,000,000","370,000,000","364,000,000","470,000,000","295,697,000","208,219,000","233,106,000","217,978,000","201,731,000","196,336,000","219,662,000","228,645,000","195,672,000","209,495,000","190,878,000","203,598,000","158,581,000","158,577,000","179,793,000","163,815,000","123,870,000","139,989,000","134,961,000","113,799,000","97,327,000","119,142,000","132,785,000","144,280,000","96,560,000","101,008,000","87,473,000","79,643,000","64,185,000","65,382,000","47,416,000","27,653,000","20,908,000","11,766,000"
NetNonOperatingInterestIncomeExpense,"-422,000,000","-101,000,000","-108,000,000","-106,000,000","-107,000,000","-111,000,000","-88,000,000","-82,000,000","-66,000,000","-63,000,000","-64,000,000","-61,000,000","-62,000,000","-49,000,000","-66,000,000","-55,000,000","-52,000,000","-50,000,000","-47,000,000","-45,000,000","-45,000,000","-44,000,000","-44,000,000","-44,000,000","-46,000,000","-30,000,000","-21,000,000","-23,000,000","-23,000,000","-23,000,000","-22,000,000","-23,000,000","-27,000,000","-25,371,000","-9,202,000","-9,234,000","-9,193,000","-9,178,000","-9,113,000","-9,157,000","-9,828,000","-11,006,000","-7,336,000","-7,525,000","-7,218,000","-6,873,000","-7,033,000","-7,162,000","-6,384,000","-5,679,000","-4,076,000","-6,562,000","-4,644,000",,,,,,,,,,,,,,
	InterestIncomeNonOperating,"1,000,000","1,000,000","0","0","0","1,000,000","1,000,000","2,000,000","6,000,000","8,000,000","8,000,000","10,000,000","9,000,000","7,000,000",,,,,,,,,,,,,,,,,,,,"878,000","700,000","695,000","727,000","612,000","332,000","442,000","240,000","270,000","908,000","846,000","988,000","769,000","478,000","340,000","726,000","709,000","298,000","344,000","610,000",,,,,,,,,,,,,,
	InterestExpenseNonOperating,"423,000,000","102,000,000","108,000,000","106,000,000","107,000,000","112,000,000","89,000,000","84,000,000","72,000,000","71,000,000","72,000,000","71,000,000","71,000,000","71,000,000","66,000,000","55,000,000","52,000,000","50,000,000","47,000,000","45,000,000","45,000,000","44,000,000","44,000,000","44,000,000","46,000,000","30,000,000","21,000,000","23,000,000","23,000,000","23,000,000","22,000,000","23,000,000","27,000,000","26,249,000","9,902,000","9,929,000","9,920,000","9,790,000","9,445,000","9,599,000","10,068,000","11,276,000","8,244,000","8,371,000","8,206,000","7,642,000","7,511,000","7,502,000","7,110,000","6,388,000","4,374,000","6,906,000","5,254,000",,,,,,,,,,,,,,
OtherIncomeExpense,"2,569,000,000","1,270,000,000","40,000,000","1,229,000,000","30,000,000","-10,000,000","-32,000,000","9,000,000","8,000,000","27,000,000","-2,000,000","8,000,000","23,000,000","110,000,000","12,000,000","-4,000,000","7,000,000","118,000,000","7,000,000","-8,000,000","172,000,000","-3,000,000","-1,000,000","-11,000,000","-25,000,000","-51,000,000","-4,000,000","-16,000,000","-17,000,000","8,000,000","-35,000,000","-21,000,000","-63,000,000","-370,871,000","-6,462,000","-6,698,000","-17,969,000","-9,159,000","-2,564,000","-3,941,000","-3,742,000","-1,054,000","-5,704,000","-285,000","-276,000","-1,358,000","-4,303,000","-16,815,000","-696,000","11,210,000","1,493,000","-10,577,000","-79,000","-12,607,000","281,000","-30,000","354,000","1,981,000","158,000","-10,805,000","9,192,000","90,000","-169,000","-340,000","-7,000","39,000","-6,180,000"
	SpecialIncomeCharges,"-102,000,000","-60,000,000","-14,000,000","-10,000,000","-18,000,000","-15,000,000","-76,000,000","-2,000,000","-12,000,000","-1,000,000","0","-1,000,000","0","-1,000,000","-6,000,000","-15,000,000","-12,000,000","-9,000,000","-4,000,000","-9,000,000","-14,000,000","-19,000,000","-14,000,000","-20,000,000","-27,000,000","-54,000,000","-8,000,000","-7,000,000","-19,000,000","-27,000,000","-40,000,000","-37,000,000","-61,000,000","-132,613,000","-6,073,000","-8,414,000","-17,900,000","-9,365,000","-2,285,000","-4,246,000","-3,463,000","-45,000","-5,704,000","-285,000","-276,000","-1,358,000","-4,303,000","-1,498,000","-696,000","11,210,000","1,493,000","-10,577,000","-79,000","-12,607,000","281,000","-30,000","354,000","1,981,000","158,000","-10,805,000","9,192,000","90,000","-169,000","-340,000","-7,000","39,000","-6,180,000"
		RestructuringAndMergernAcquisition,"102,000,000","60,000,000","14,000,000","10,000,000","18,000,000","15,000,000","76,000,000","2,000,000","12,000,000","1,000,000","0","1,000,000","0","1,000,000","6,000,000","15,000,000","12,000,000","9,000,000","4,000,000","9,000,000","14,000,000","19,000,000","14,000,000","20,000,000","27,000,000","54,000,000","8,000,000","7,000,000","19,000,000","27,000,000","40,000,000","37,000,000","61,000,000","132,613,000","6,073,000","8,414,000","17,900,000","9,365,000","2,285,000","4,246,000","3,463,000","864,000","5,446,000",,,,"7,019,000","1,498,000",,,,,,,,,,"33,000","144,000","10,944,000",,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"258,000",,,,"-2,716,000",,,,,,,,,,,"-2,014,000","-302,000","-139,000",,,,,,,
	OtherNonOperatingIncomeExpenses,"2,671,000,000","1,330,000,000","54,000,000","1,239,000,000","48,000,000","5,000,000","44,000,000","11,000,000","20,000,000","28,000,000","-2,000,000","9,000,000","23,000,000","111,000,000","18,000,000","11,000,000","19,000,000","127,000,000","11,000,000","1,000,000","186,000,000","16,000,000","13,000,000","9,000,000","2,000,000","3,000,000","4,000,000","-9,000,000","2,000,000","35,000,000","5,000,000","16,000,000","-2,000,000","-238,258,000","-389,000","1,716,000","-69,000","206,000","-279,000","305,000","-279,000",,,,,,,"-15,317,000",,,,,,,,,,,,,,,,,,,
PretaxIncome,"5,698,000,000","2,109,000,000","824,000,000","1,932,000,000","833,000,000","674,000,000","583,000,000","673,000,000","836,000,000","587,000,000","640,000,000","628,000,000","626,000,000","738,000,000","554,000,000","611,000,000","617,000,000","669,000,000","560,000,000","565,000,000","723,000,000","530,000,000","443,000,000","516,000,000","540,000,000","391,000,000","423,000,000","398,000,000","441,000,000","412,000,000","313,000,000","320,000,000","380,000,000","-100,545,000","192,555,000","217,174,000","190,816,000","183,394,000","184,659,000","206,564,000","215,075,000","183,612,000","196,455,000","183,068,000","196,104,000","150,350,000","147,241,000","155,816,000","156,735,000","129,401,000","137,406,000","117,822,000","109,076,000","81,156,000","118,282,000","131,639,000","142,419,000","96,089,000","99,274,000","75,207,000","87,864,000","67,400,000","68,113,000","48,269,000","28,761,000","21,819,000","12,725,000"
TaxProvision,"1,629,000,000","580,000,000","187,000,000","679,000,000","183,000,000","146,000,000","189,000,000","145,000,000","178,000,000","134,000,000","103,000,000","150,000,000","134,000,000","119,000,000","89,000,000","149,000,000","143,000,000","-562,000,000","185,000,000","139,000,000","213,000,000","171,000,000","93,000,000","153,000,000","163,000,000","18,000,000","113,000,000","109,000,000","118,000,000","118,000,000","90,000,000","93,000,000","107,000,000","69,541,000","47,511,000","59,313,000","53,635,000","50,841,000","50,552,000","61,266,000","65,296,000","53,345,000","59,507,000","58,696,000","65,950,000","48,541,000","47,328,000","53,289,000","53,217,000","46,409,000","50,524,000","45,764,000","36,854,000","32,301,000","43,319,000","46,775,000","50,129,000","31,437,000","32,593,000","21,514,000","32,278,000","18,408,000","24,467,000","17,302,000","9,097,000","6,959,000","4,209,000"
NetIncomeCommonStockholders,"4,058,000,000","1,527,000,000","633,000,000","1,252,000,000","646,000,000","526,000,000","390,000,000","523,000,000","650,000,000","448,000,000","529,000,000","472,000,000","484,000,000","611,000,000","458,000,000","455,000,000","464,000,000","1,225,000,000","369,000,000","418,000,000","502,000,000","352,000,000","344,000,000","357,000,000","369,000,000","370,000,000","306,000,000","283,000,000","315,000,000","288,000,000","206,000,000","226,000,000","262,000,000","-176,080,000","141,315,000","153,323,000","135,442,000","129,472,000","131,082,000","143,157,000","147,865,000","126,773,000","132,631,000","121,365,000","128,904,000","99,132,000","96,315,000","101,688,000","101,163,000","84,254,000","87,454,000","72,058,000","72,222,000","48,855,000","74,963,000","84,864,000","92,290,000","64,652,000","66,681,000","53,693,000","55,586,000","48,992,000","43,646,000","30,967,000","19,664,000","14,860,000","8,517,000"
