name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
TotalRevenue,"3,500,000,000","894,000,000","882,000,000","861,000,000","863,000,000","1,672,000,000","1,563,000,000","1,496,000,000","1,559,000,000","1,691,000,000","1,616,000,000","1,628,000,000","1,563,000,000","1,658,000,000","1,600,000,000","1,647,000,000","1,610,000,000","1,761,000,000","1,641,000,000","1,644,000,000","1,526,000,000","1,656,000,000","1,570,000,000","1,596,000,000","1,487,000,000","1,624,000,000","1,531,000,000","1,559,000,000","1,458,000,000","1,633,000,000","1,572,000,000","1,594,000,000","1,489,000,000","1,611,000,000","1,387,000,000","1,386,000,000","1,376,000,000","1,464,000,000","1,423,000,000","1,385,000,000","1,340,000,000","1,421,000,000","1,413,000,000","1,396,000,000","1,302,000,000","1,371,000,000","1,289,000,000","1,270,000,000","1,196,000,000","1,297,000,000","1,227,000,000","1,182,000,000","1,102,000,000"
	OperatingRevenue,"3,500,000,000","894,000,000","882,000,000","861,000,000","863,000,000","1,672,000,000","1,563,000,000","1,496,000,000","1,559,000,000","1,691,000,000","1,616,000,000","1,628,000,000","1,563,000,000","1,658,000,000","1,600,000,000","1,647,000,000","1,610,000,000","1,761,000,000","1,641,000,000","1,644,000,000","1,526,000,000","1,656,000,000","1,570,000,000","1,596,000,000","1,487,000,000","1,624,000,000","1,531,000,000","1,559,000,000","1,458,000,000","1,633,000,000","1,572,000,000","1,594,000,000","1,489,000,000","1,611,000,000","1,387,000,000","1,386,000,000","1,376,000,000","1,464,000,000","1,423,000,000","1,385,000,000","1,340,000,000","1,421,000,000","1,413,000,000","1,396,000,000","1,302,000,000","1,371,000,000","1,289,000,000","1,270,000,000","1,196,000,000","1,297,000,000","1,227,000,000","1,182,000,000","1,102,000,000"
CostOfRevenue,"1,212,000,000","336,000,000","307,000,000","292,000,000","277,000,000","712,000,000","663,000,000","664,000,000","721,000,000","734,000,000","694,000,000","699,000,000","695,000,000","707,000,000","681,000,000","698,000,000","719,000,000","734,000,000","692,000,000","678,000,000","661,000,000","670,000,000","642,000,000","654,000,000","641,000,000","654,000,000","615,000,000","648,000,000","622,000,000","653,000,000","648,000,000","677,000,000","642,000,000","666,000,000","573,000,000","580,000,000","593,000,000","584,000,000","565,000,000","564,000,000","565,000,000","564,000,000","554,000,000","570,000,000","549,000,000","560,000,000","521,000,000","528,000,000","520,000,000","539,000,000","521,000,000","484,000,000","479,000,000"
GrossProfit,"2,288,000,000","558,000,000","575,000,000","569,000,000","586,000,000","960,000,000","900,000,000","832,000,000","838,000,000","957,000,000","922,000,000","929,000,000","868,000,000","951,000,000","919,000,000","949,000,000","891,000,000","1,027,000,000","949,000,000","966,000,000","865,000,000","986,000,000","928,000,000","942,000,000","846,000,000","970,000,000","916,000,000","911,000,000","836,000,000","980,000,000","924,000,000","917,000,000","847,000,000","945,000,000","814,000,000","806,000,000","783,000,000","880,000,000","858,000,000","821,000,000","775,000,000","857,000,000","859,000,000","826,000,000","753,000,000","811,000,000","768,000,000","742,000,000","676,000,000","758,000,000","706,000,000","698,000,000","623,000,000"
OperatingExpense,"1,403,000,000","379,000,000","347,000,000","344,000,000","333,000,000","664,000,000","668,000,000","675,000,000","729,000,000","705,000,000","653,000,000","668,000,000","659,000,000","678,000,000","639,000,000","656,000,000","660,000,000","638,000,000","605,000,000","633,000,000","626,000,000","613,000,000","603,000,000","626,000,000","612,000,000","652,000,000","603,000,000","611,000,000","623,000,000","626,000,000","607,000,000","627,000,000","630,000,000","651,000,000","551,000,000","560,000,000","577,000,000","572,000,000","574,000,000","568,000,000","584,000,000","568,000,000","585,000,000","585,000,000","679,000,000","568,000,000","556,000,000","541,000,000","541,000,000","544,000,000","508,000,000","522,000,000","506,000,000"
	SellingGeneralAndAdministration,"891,000,000","249,000,000","218,000,000","218,000,000","206,000,000","455,000,000","451,000,000","451,000,000","515,000,000","499,000,000","467,000,000","483,000,000","480,000,000","507,000,000","464,000,000","494,000,000","493,000,000","475,000,000","445,000,000","471,000,000","471,000,000","460,000,000","452,000,000","474,000,000","465,000,000","510,000,000","459,000,000","465,000,000","481,000,000","478,000,000","468,000,000","482,000,000","489,000,000","505,000,000","434,000,000","434,000,000","451,000,000","440,000,000","444,000,000","441,000,000","453,000,000","435,000,000","460,000,000","450,000,000","543,000,000","429,000,000","414,000,000","405,000,000","400,000,000","396,000,000","365,000,000","386,000,000","376,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"512,000,000","130,000,000","129,000,000","126,000,000","127,000,000","209,000,000","217,000,000","224,000,000","214,000,000","206,000,000","186,000,000","185,000,000","179,000,000","171,000,000","175,000,000","162,000,000","167,000,000","163,000,000","160,000,000","162,000,000","155,000,000","153,000,000","151,000,000","152,000,000","147,000,000","142,000,000","144,000,000","146,000,000","142,000,000","148,000,000","139,000,000","145,000,000","141,000,000","146,000,000","117,000,000","126,000,000","126,000,000","132,000,000","130,000,000","127,000,000","131,000,000","133,000,000","125,000,000","135,000,000","136,000,000","139,000,000","142,000,000","136,000,000","141,000,000","148,000,000","143,000,000","136,000,000","130,000,000"
		DepreciationAndAmortizationInIncomeStatement,"512,000,000","130,000,000","129,000,000","126,000,000","127,000,000","209,000,000","217,000,000","224,000,000","214,000,000","206,000,000","186,000,000","185,000,000","179,000,000","171,000,000","175,000,000","162,000,000","167,000,000","163,000,000","160,000,000","162,000,000","155,000,000","153,000,000","151,000,000","152,000,000","147,000,000","142,000,000","144,000,000","146,000,000","142,000,000","148,000,000","139,000,000","145,000,000","141,000,000","146,000,000","117,000,000","126,000,000","126,000,000","132,000,000","130,000,000","127,000,000","131,000,000","133,000,000","125,000,000","135,000,000","136,000,000","139,000,000","142,000,000","136,000,000","141,000,000","148,000,000","143,000,000","136,000,000","130,000,000"
OperatingIncome,"885,000,000","179,000,000","228,000,000","225,000,000","253,000,000","296,000,000","232,000,000","157,000,000","109,000,000","252,000,000","269,000,000","261,000,000","209,000,000","273,000,000","280,000,000","293,000,000","231,000,000","389,000,000","344,000,000","333,000,000","239,000,000","373,000,000","325,000,000","316,000,000","234,000,000","318,000,000","313,000,000","300,000,000","213,000,000","354,000,000","317,000,000","290,000,000","217,000,000","294,000,000","263,000,000","246,000,000","206,000,000","308,000,000","284,000,000","253,000,000","191,000,000","289,000,000","274,000,000","241,000,000","74,000,000","243,000,000","212,000,000","201,000,000","135,000,000","214,000,000","198,000,000","176,000,000","117,000,000"
NetNonOperatingInterestIncomeExpense,"-285,000,000","-68,000,000","-68,000,000","-69,000,000","-80,000,000","-93,000,000","-92,000,000","-91,000,000","-93,000,000","-96,000,000","-99,000,000","-99,000,000","-97,000,000","-97,000,000","-97,000,000","-98,000,000","-94,000,000","-96,000,000","-94,000,000","-91,000,000","-89,000,000","-85,000,000","-84,000,000","-82,000,000","-78,000,000","-79,000,000","-78,000,000","-78,000,000","-72,000,000","-71,000,000","-73,000,000","-77,000,000","-76,000,000","-80,000,000","-77,000,000","-73,000,000","-82,000,000","-93,000,000","-105,000,000","-106,000,000","-105,000,000","-108,000,000","-112,000,000","-112,000,000","-139,000,000","-167,000,000","-168,000,000","-159,000,000","-161,000,000","-163,000,000","-166,000,000","-149,000,000","-162,000,000"
	InterestIncomeNonOperating,,,,,"0","1,000,000","0","0","1,000,000","2,000,000","1,000,000","1,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","0","1,000,000","1,000,000","1,000,000","0","1,000,000","0","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","2,000,000","2,000,000","1,000,000","2,000,000","1,000,000","1,000,000","1,000,000","1,000,000","2,000,000","2,000,000","2,000,000"
	InterestExpenseNonOperating,"285,000,000","68,000,000","68,000,000","69,000,000","80,000,000","94,000,000","92,000,000","91,000,000","94,000,000","98,000,000","100,000,000","100,000,000","99,000,000","99,000,000","99,000,000","100,000,000","96,000,000","97,000,000","95,000,000","92,000,000","90,000,000","86,000,000","85,000,000","83,000,000","79,000,000","80,000,000","79,000,000","79,000,000","73,000,000","71,000,000","74,000,000","78,000,000","77,000,000","80,000,000","78,000,000","73,000,000","83,000,000","94,000,000","106,000,000","107,000,000","106,000,000","109,000,000","114,000,000","114,000,000","140,000,000","169,000,000","169,000,000","160,000,000","162,000,000","164,000,000","168,000,000","151,000,000","164,000,000"
OtherIncomeExpense,"-42,000,000","2,000,000","-8,000,000","-32,000,000","-4,000,000","-142,000,000","-61,000,000","-130,000,000","-18,000,000","-199,000,000","-1,018,000,000","-13,000,000","-33,000,000","-1,450,000,000","-26,000,000","-74,000,000","-23,000,000","-47,000,000","-8,000,000","-18,000,000","-34,000,000","-27,000,000","-27,000,000","-38,000,000","-11,000,000","194,000,000","-10,000,000","-20,000,000","-40,000,000","-85,000,000","-57,000,000","-64,000,000","-54,000,000","-67,000,000","-15,000,000","-12,000,000","-59,000,000","-154,000,000","-3,000,000","-10,000,000","-52,000,000","-19,000,000","-13,000,000","-24,000,000","-247,000,000","-133,000,000","-21,000,000","46,000,000","75,000,000","-80,000,000","-566,000,000","-71,000,000","49,000,000"
	GainOnSaleOfSecurity,"-5,000,000","0","-1,000,000",,"-4,000,000","-3,000,000","-3,000,000","3,000,000","-6,000,000","0","-6,000,000","-1,000,000","-3,000,000","-4,000,000","-8,000,000","-4,000,000",,"-1,000,000",,"-7,000,000","-2,000,000","-3,000,000","2,000,000","-4,000,000","-1,000,000","-4,000,000","5,000,000","-6,000,000","-26,000,000","-39,000,000","1,000,000","-6,000,000","-27,000,000","-2,000,000","-7,000,000","-4,000,000","-12,000,000","-5,000,000","1,000,000","-4,000,000","-9,000,000","-2,000,000","-4,000,000","-10,000,000",,,"-5,000,000","67,000,000",,,,,
	SpecialIncomeCharges,"-13,000,000","-1,000,000","-6,000,000","-6,000,000","0","-130,000,000","-58,000,000","-129,000,000","-11,000,000","-28,000,000","-1,009,000,000","-12,000,000","-35,000,000","-1,444,000,000","-19,000,000","-65,000,000","-24,000,000","-32,000,000","-7,000,000","-9,000,000","-32,000,000","-32,000,000","-29,000,000","-34,000,000","-10,000,000","-8,000,000","-15,000,000","-14,000,000","-14,000,000","-46,000,000","-6,000,000","-13,000,000","-24,000,000","-56,000,000","-20,000,000","-8,000,000","-35,000,000","-31,000,000","-4,000,000","-6,000,000","-43,000,000","-17,000,000","-9,000,000","-14,000,000","-247,000,000","-133,000,000","-16,000,000","-21,000,000","75,000,000","-80,000,000","-566,000,000","-71,000,000","49,000,000"
		RestructuringAndMergernAcquisition,"13,000,000","1,000,000","6,000,000","6,000,000","0","-1,000,000","50,000,000","84,000,000","11,000,000","28,000,000","5,000,000","12,000,000","35,000,000","31,000,000","19,000,000","65,000,000","24,000,000","32,000,000","7,000,000","9,000,000","32,000,000","32,000,000","29,000,000","34,000,000","10,000,000","8,000,000","15,000,000","14,000,000","14,000,000","46,000,000","6,000,000","13,000,000","24,000,000","56,000,000","20,000,000","8,000,000","35,000,000","28,000,000","3,000,000","16,000,000","37,000,000","29,000,000","9,000,000","23,000,000","23,000,000","28,000,000","11,000,000","19,000,000","3,000,000","56,000,000","-3,000,000","4,000,000","5,000,000"
		ImpairmentOfCapitalAssets,"0","0","0","0",,"131,000,000","8,000,000","45,000,000",,"0","1,004,000,000",,,"1,413,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"9,000,000",,,,,"1,000,000","-10,000,000","6,000,000","-12,000,000",,"-9,000,000","224,000,000","105,000,000","5,000,000","2,000,000","-78,000,000","24,000,000","42,000,000","67,000,000","-54,000,000"
	OtherNonOperatingIncomeExpenses,"-24,000,000","3,000,000","-1,000,000","-26,000,000",,"-9,000,000",,"-4,000,000","-1,000,000","-171,000,000","-3,000,000",,"5,000,000","-2,000,000","1,000,000","-5,000,000","1,000,000","-14,000,000","-1,000,000","-2,000,000",,"8,000,000",,,,"206,000,000",,,,"0","-52,000,000","-45,000,000","-3,000,000","-9,000,000","12,000,000",,"-12,000,000","-121,000,000",,,,,,,,,,,,,,,
PretaxIncome,"558,000,000","113,000,000","152,000,000","124,000,000","169,000,000","61,000,000","79,000,000","-64,000,000","-2,000,000","-43,000,000","-848,000,000","149,000,000","79,000,000","-1,274,000,000","157,000,000","121,000,000","114,000,000","246,000,000","242,000,000","224,000,000","116,000,000","261,000,000","214,000,000","196,000,000","145,000,000","433,000,000","225,000,000","202,000,000","101,000,000","198,000,000","187,000,000","149,000,000","87,000,000","147,000,000","171,000,000","161,000,000","65,000,000","61,000,000","176,000,000","137,000,000","34,000,000","162,000,000","149,000,000","105,000,000","-312,000,000","-57,000,000","23,000,000","88,000,000","49,000,000","-29,000,000","-534,000,000","-44,000,000","4,000,000"
TaxProvision,"-2,000,000","-131,000,000","33,000,000","36,000,000","60,000,000","25,000,000","69,000,000","-38,000,000","11,000,000","65,000,000","-380,000,000","23,000,000","32,000,000","-324,000,000","59,000,000","44,000,000","39,000,000","162,000,000","92,000,000","91,000,000","43,000,000","101,000,000","82,000,000","82,000,000","44,000,000","177,000,000","82,000,000","86,000,000","38,000,000","34,000,000","95,000,000","74,000,000","33,000,000","-13,000,000","40,000,000","46,000,000","27,000,000","26,000,000","69,000,000","38,000,000","7,000,000","73,000,000","44,000,000","39,000,000","-134,000,000","-60,000,000","2,000,000","13,000,000","-1,000,000","-73,000,000","-99,000,000","-25,000,000","0"
EarningsFromEquityInterestNetOfTax,"-1,000,000","-2,000,000","1,000,000",,,,,,,"0","0","0",,"1,000,000","0","-1,000,000",,,,,,"0","0",,,"-2,000,000","-1,000,000","0","0","-6,000,000","0","1,000,000","1,000,000","-1,000,000","0","4,000,000","-1,000,000","4,000,000","-1,000,000","4,000,000","-2,000,000","4,000,000","-2,000,000","3,000,000","-2,000,000","4,000,000","1,000,000","2,000,000","-2,000,000","3,000,000","-33,000,000","5,000,000","3,000,000"
NetIncomeCommonStockholders,"963,000,000","214,000,000","100,000,000","76,000,000","573,000,000","35,000,000","7,000,000","-30,000,000","-18,000,000","-109,000,000","-472,000,000","123,000,000","43,000,000","-952,000,000","96,000,000","72,000,000","72,000,000","81,000,000","146,000,000","131,000,000","71,000,000","159,000,000","130,000,000","113,000,000","100,000,000","251,000,000","142,000,000","114,000,000","63,000,000","161,000,000","91,000,000","74,000,000","58,000,000","145,000,000","134,000,000","426,000,000","35,000,000","39,000,000","105,000,000","104,000,000","25,000,000","95,000,000","102,000,000","69,000,000","-182,000,000","3,000,000","11,000,000","74,000,000","42,000,000","44,000,000","-527,000,000","-10,000,000","2,000,000"
	NetIncome,"963,000,000","214,000,000","100,000,000","76,000,000","573,000,000","35,000,000","7,000,000","-30,000,000","-18,000,000","-109,000,000","-472,000,000","123,000,000","43,000,000","-952,000,000","96,000,000","72,000,000","72,000,000","81,000,000","146,000,000","131,000,000","71,000,000","159,000,000","130,000,000","113,000,000","100,000,000","251,000,000","142,000,000","114,000,000","63,000,000","161,000,000","91,000,000","74,000,000","58,000,000","145,000,000","134,000,000","426,000,000","35,000,000","39,000,000","105,000,000","104,000,000","25,000,000","95,000,000","102,000,000","69,000,000","-182,000,000","3,000,000","11,000,000","74,000,000","42,000,000","44,000,000","-527,000,000","-10,000,000","2,000,000"
