name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
TotalRevenue,"111,476,000,000","32,604,000,000","30,243,000,000","27,002,000,000","21,627,000,000","16,409,000,000","15,929,000,000","10,913,000,000","20,878,000,000","29,125,000,000","27,218,000,000","27,847,000,000","23,103,000,000","29,098,000,000","29,788,000,000","28,980,000,000","23,595,000,000","29,746,000,000","25,627,000,000","24,087,000,000","22,894,000,000","23,397,000,000","21,624,000,000","21,849,000,000","17,409,000,000","21,893,000,000","25,792,000,000","28,512,000,000","22,778,000,000","34,963,000,000","40,417,000,000","45,549,000,000","40,283,000,000","42,892,000,000","44,201,000,000","43,240,000,000","41,263,000,000","43,714,000,000","42,948,000,000","47,012,000,000","45,786,000,000","49,935,000,000","50,407,000,000","52,646,000,000","44,783,000,000","41,113,000,000"
	OperatingRevenue,"111,476,000,000","32,604,000,000","30,243,000,000","27,002,000,000","21,627,000,000","16,409,000,000","15,929,000,000","10,913,000,000","20,878,000,000","29,125,000,000","27,218,000,000","27,847,000,000","23,103,000,000","29,098,000,000","29,788,000,000","28,980,000,000","23,595,000,000","29,746,000,000","25,627,000,000","24,087,000,000","22,894,000,000","23,397,000,000","21,624,000,000","21,849,000,000","17,409,000,000","21,893,000,000","25,792,000,000","28,512,000,000","22,778,000,000","34,963,000,000","40,417,000,000","45,549,000,000","40,283,000,000","42,892,000,000","44,201,000,000","43,240,000,000","41,263,000,000","43,796,000,000","42,944,000,000","46,935,000,000","45,784,000,000","49,715,000,000","50,389,000,000","52,637,000,000","44,780,000,000","41,115,000,000"
CostOfRevenue,"103,707,000,000","29,814,000,000","27,890,000,000","25,582,000,000","20,421,000,000","15,508,000,000","14,861,000,000","9,951,000,000","18,782,000,000","26,454,000,000","24,142,000,000","24,888,000,000","21,386,000,000","24,997,000,000","26,731,000,000","26,084,000,000","21,474,000,000","24,260,000,000","19,800,000,000","18,673,000,000","17,994,000,000","18,684,000,000","16,254,000,000","16,488,000,000","12,210,000,000","16,152,000,000","18,850,000,000","22,527,000,000","16,948,000,000","28,722,000,000","33,851,000,000","39,555,000,000","34,615,000,000","37,193,000,000","38,982,000,000","37,508,000,000","35,509,000,000","35,521,000,000","37,073,000,000","41,382,000,000","41,420,000,000","43,969,000,000","44,932,000,000","47,618,000,000","40,390,000,000","37,021,000,000"
GrossProfit,"7,769,000,000","2,790,000,000","2,353,000,000","1,420,000,000","1,206,000,000","901,000,000","1,068,000,000","962,000,000","2,096,000,000","2,671,000,000","3,076,000,000","2,959,000,000","1,717,000,000","4,101,000,000","3,057,000,000","2,896,000,000","2,121,000,000","5,486,000,000","5,827,000,000","5,414,000,000","4,900,000,000","4,713,000,000","5,370,000,000","5,361,000,000","5,199,000,000","5,741,000,000","6,942,000,000","5,985,000,000","5,830,000,000","6,241,000,000","6,566,000,000","5,994,000,000","5,668,000,000","5,699,000,000","5,219,000,000","5,732,000,000","5,754,000,000","8,193,000,000","5,875,000,000","5,630,000,000","4,366,000,000","5,966,000,000","5,475,000,000","5,028,000,000","4,393,000,000","4,092,000,000"
OperatingExpense,"7,301,000,000","1,972,000,000","1,675,000,000","1,727,000,000","1,927,000,000","1,699,000,000","1,506,000,000","1,549,000,000","1,817,000,000","1,966,000,000","1,727,000,000","1,670,000,000","1,801,000,000","1,801,000,000","1,755,000,000","1,684,000,000","1,742,000,000","5,089,000,000","5,025,000,000","4,932,000,000","4,810,000,000","4,826,000,000","4,896,000,000","5,009,000,000","4,870,000,000","4,963,000,000","5,130,000,000","4,998,000,000","4,950,000,000","5,308,000,000","5,379,000,000","5,321,000,000","5,130,000,000","5,295,000,000","4,972,000,000","4,909,000,000","4,634,000,000","7,242,000,000","4,078,000,000","4,185,000,000","3,990,000,000","4,116,000,000","4,273,000,000","4,210,000,000","4,027,000,000","4,198,000,000"
	SellingGeneralAndAdministration,"1,744,000,000","479,000,000","424,000,000","433,000,000","408,000,000","432,000,000","384,000,000","409,000,000","319,000,000","491,000,000","416,000,000","408,000,000","366,000,000","419,000,000","440,000,000","432,000,000","386,000,000","437,000,000","435,000,000","439,000,000","384,000,000","420,000,000","411,000,000","421,000,000","386,000,000","433,000,000","437,000,000","406,000,000","394,000,000","448,000,000","401,000,000","412,000,000","402,000,000","418,000,000","354,000,000","374,000,000","332,000,000","461,000,000","432,000,000","480,000,000","349,000,000","367,000,000","372,000,000","347,000,000","323,000,000","402,000,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,"342,000,000","340,000,000","336,000,000","334,000,000","331,000,000","337,000,000","346,000,000","337,000,000","336,000,000","346,000,000","337,000,000","320,000,000","315,000,000","305,000,000","293,000,000","290,000,000","280,000,000","281,000,000","270,000,000","274,000,000","253,000,000","273,000,000","249,000,000","239,000,000","234,000,000","235,000,000","236,000,000","231,000,000","245,000,000","244,000,000","229,000,000","224,000,000","216,000,000","241,000,000","222,000,000","226,000,000","219,000,000","220,000,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,"342,000,000","340,000,000","336,000,000","334,000,000","331,000,000","337,000,000","346,000,000","337,000,000","336,000,000","346,000,000","337,000,000","320,000,000","315,000,000","305,000,000","293,000,000","290,000,000","280,000,000","281,000,000","270,000,000","274,000,000","253,000,000","273,000,000","249,000,000","239,000,000","234,000,000","235,000,000","236,000,000","231,000,000","245,000,000","244,000,000","229,000,000","224,000,000","216,000,000","241,000,000","222,000,000","226,000,000","219,000,000","220,000,000"
	OtherTaxes,"410,000,000","67,000,000","85,000,000","119,000,000","139,000,000","87,000,000","106,000,000","114,000,000","157,000,000","79,000,000","105,000,000","97,000,000","128,000,000","97,000,000","109,000,000","109,000,000","110,000,000","3,494,000,000","3,456,000,000","3,356,000,000","3,156,000,000","3,209,000,000","3,424,000,000","3,594,000,000","3,461,000,000","3,456,000,000","3,610,000,000","3,549,000,000","3,462,000,000","3,696,000,000","3,874,000,000","3,832,000,000","3,638,000,000","3,669,000,000","3,624,000,000","3,502,000,000","3,324,000,000","3,436,000,000","3,410,000,000","3,475,000,000","3,420,000,000","3,503,000,000","3,674,000,000","3,631,000,000","3,480,000,000","3,571,000,000"
	OtherOperatingExpenses,"5,147,000,000","1,426,000,000","1,166,000,000","1,175,000,000","1,380,000,000","1,180,000,000","1,016,000,000","1,026,000,000","1,341,000,000","1,396,000,000","1,206,000,000","1,165,000,000","1,307,000,000","1,285,000,000","1,206,000,000","1,143,000,000","1,246,000,000","1,158,000,000","1,134,000,000","1,137,000,000","1,270,000,000","1,197,000,000","1,061,000,000","994,000,000","1,023,000,000","1,074,000,000","1,083,000,000","1,043,000,000","1,094,000,000","1,164,000,000","1,104,000,000","1,077,000,000","1,090,000,000","1,208,000,000","994,000,000","1,033,000,000","978,000,000","4,014,000,000","7,000,000","6,000,000","5,000,000","5,000,000","5,000,000","6,000,000","5,000,000","5,000,000"
OperatingIncome,"468,000,000","818,000,000","678,000,000","-307,000,000","-721,000,000","-798,000,000","-438,000,000","-587,000,000","279,000,000","705,000,000","1,349,000,000","1,289,000,000","-84,000,000","2,300,000,000","1,302,000,000","1,212,000,000","379,000,000","397,000,000","802,000,000","482,000,000","90,000,000","-113,000,000","474,000,000","352,000,000","329,000,000","778,000,000","1,812,000,000","987,000,000","880,000,000","933,000,000","1,187,000,000","673,000,000","538,000,000","404,000,000","247,000,000","823,000,000","1,120,000,000","951,000,000","1,797,000,000","1,445,000,000","376,000,000","1,850,000,000","1,202,000,000","818,000,000","366,000,000","-106,000,000"
NetNonOperatingInterestIncomeExpense,"-594,000,000","-136,000,000","-157,000,000","-149,000,000","-152,000,000","-130,000,000","-138,000,000","-122,000,000","-117,000,000","-78,000,000","-115,000,000","-120,000,000","-125,000,000","-82,000,000","-130,000,000","-141,000,000","-129,000,000","-89,000,000","-117,000,000","-113,000,000","-110,000,000","-76,000,000","-86,000,000","-88,000,000","-91,000,000","-52,000,000","-76,000,000","-85,000,000","-91,000,000","-58,000,000","-66,000,000","-72,000,000","-74,000,000","-54,000,000","-74,000,000","-75,000,000","-76,000,000","-83,000,000","-74,000,000","-83,000,000","-13,000,000","-6,000,000","-4,000,000","-3,000,000","-4,000,000","41,000,000"
	InterestIncomeNonOperating,"11,000,000"
	InterestExpenseNonOperating,"605,000,000","147,000,000","157,000,000","149,000,000","152,000,000","144,000,000","138,000,000","122,000,000","117,000,000","121,000,000","115,000,000","120,000,000","125,000,000","127,000,000","130,000,000","141,000,000","129,000,000","120,000,000","117,000,000","113,000,000","110,000,000","94,000,000","86,000,000","88,000,000","91,000,000","79,000,000","76,000,000","85,000,000","91,000,000","79,000,000","66,000,000","72,000,000","74,000,000","74,000,000","74,000,000","75,000,000","76,000,000","101,000,000","74,000,000","83,000,000","13,000,000","6,000,000","4,000,000","3,000,000","4,000,000","1,000,000"
OtherIncomeExpense,"1,866,000,000","945,000,000","-73,000,000","892,000,000","102,000,000","237,000,000","-774,000,000","264,000,000","-2,640,000,000","439,000,000","-291,000,000","660,000,000","549,000,000","700,000,000","803,000,000","764,000,000","467,000,000","346,000,000","571,000,000","479,000,000","817,000,000","251,000,000","425,000,000","456,000,000","358,000,000","106,000,000","623,000,000","563,000,000","599,000,000","486,000,000","606,000,000","758,000,000","834,000,000","795,000,000","653,000,000","726,000,000","1,037,000,000","351,000,000","726,000,000","532,000,000","706,000,000","507,000,000","352,000,000","813,000,000","733,000,000","510,000,000"
	GainOnSaleOfSecurity,"364,000,000","359,000,000","-4,000,000","9,000,000",,"-2,000,000","-4,000,000","-6,000,000",,"0","9,000,000","-9,000,000","-5,000,000","1,000,000",,"14,000,000","16,000,000","6,000,000","-7,000,000",,"1,000,000","-1,000,000","9,000,000",,"7,000,000","1,000,000","-1,000,000",,"-49,000,000","-3,000,000","-13,000,000","-29,000,000","19,000,000","24,000,000","-1,000,000","19,000,000","-2,000,000","7,000,000","15,000,000","-8,000,000",,,"-18,000,000","31,000,000",,
	EarningsFromEquityInterest,"2,904,000,000","807,000,000","982,000,000","830,000,000","285,000,000","320,000,000","349,000,000","157,000,000","365,000,000","464,000,000","499,000,000","648,000,000","516,000,000","730,000,000","779,000,000","743,000,000","424,000,000","375,000,000","530,000,000","462,000,000","365,000,000","255,000,000","391,000,000","435,000,000","333,000,000","127,000,000","583,000,000","407,000,000","456,000,000","413,000,000","511,000,000","764,000,000","778,000,000","769,000,000","647,000,000","618,000,000","1,039,000,000","626,000,000","959,000,000","815,000,000","734,000,000","513,000,000","856,000,000","784,000,000","690,000,000","562,000,000"
	SpecialIncomeCharges,"-1,480,000,000","5,000,000","-1,289,000,000","2,000,000","-198,000,000","-85,000,000","-1,139,000,000","85,000,000","-3,005,000,000","-4,000,000","-835,000,000","-2,000,000","0","0","0","-6,000,000","17,000,000","417,000,000","-1,000,000","-1,000,000","-1,000,000","0","1,000,000","4,000,000","0","-4,000,000","21,000,000","137,000,000","122,000,000","36,000,000","97,000,000","6,000,000","6,000,000","2,000,000","7,000,000","40,000,000","-23,000,000","-399,000,000","-248,000,000","-275,000,000","-28,000,000","-40,000,000","-486,000,000","-2,000,000","43,000,000","-52,000,000"
		ImpairmentOfCapitalAssets,"1,497,000,000","1,000,000","1,298,000,000","0","0","106,000,000","1,115,000,000","0","1,845,000,000","5,000,000","853,000,000","2,000,000","1,000,000","1,000,000","1,000,000","6,000,000",,"6,000,000","1,000,000","15,000,000","2,000,000","1,000,000","2,000,000","2,000,000",,"4,000,000","1,000,000","2,000,000","0","134,000,000","12,000,000","3,000,000","1,000,000","3,000,000","1,000,000","1,000,000","24,000,000","592,000,000","248,000,000","275,000,000","43,000,000","-16,000,000","486,000,000","2,000,000","0","51,000,000"
		WriteOff,"1,000,000",,,,"198,000,000","0","25,000,000","0","1,161,000,000","5,000,000","853,000,000","2,000,000","1,000,000","1,000,000","1,000,000","6,000,000",,"6,000,000","1,000,000","15,000,000","2,000,000","1,000,000","2,000,000","2,000,000",,"4,000,000","1,000,000","2,000,000","0","134,000,000","12,000,000","3,000,000","1,000,000","3,000,000","1,000,000","1,000,000","24,000,000","592,000,000",,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-15,000,000",,"-15,000,000",,,,"-43,000,000","1,000,000"
		GainOnSaleOfPPE,"18,000,000","7,000,000","9,000,000","2,000,000","0","21,000,000","1,000,000","85,000,000","1,000,000","1,000,000","18,000,000","0","1,000,000","1,000,000","1,000,000",,"17,000,000","0","0","14,000,000","1,000,000","1,000,000","3,000,000","6,000,000","0","0","22,000,000","139,000,000","122,000,000","170,000,000","109,000,000","9,000,000","7,000,000","5,000,000","8,000,000","41,000,000","1,000,000","4,000,000",,,,,,,,
	OtherNonOperatingIncomeExpenses,"78,000,000","-226,000,000","238,000,000","51,000,000","15,000,000","4,000,000","20,000,000","28,000,000","-6,000,000","-21,000,000","36,000,000","23,000,000","38,000,000","-31,000,000","24,000,000","13,000,000","10,000,000","-452,000,000","49,000,000","18,000,000","452,000,000","-3,000,000","24,000,000","17,000,000","18,000,000","-18,000,000","20,000,000","19,000,000","70,000,000","40,000,000","11,000,000","17,000,000","31,000,000","0","-6,000,000","49,000,000","23,000,000","53,000,000",,,,,,,,
PretaxIncome,"1,740,000,000","1,627,000,000","448,000,000","436,000,000","-771,000,000","-691,000,000","-1,350,000,000","-445,000,000","-2,478,000,000","1,066,000,000","943,000,000","1,829,000,000","340,000,000","2,918,000,000","1,975,000,000","1,835,000,000","717,000,000","654,000,000","1,256,000,000","848,000,000","797,000,000","62,000,000","813,000,000","720,000,000","596,000,000","832,000,000","2,359,000,000","1,465,000,000","1,388,000,000","1,361,000,000","1,727,000,000","1,359,000,000","1,298,000,000","1,145,000,000","826,000,000","1,474,000,000","2,081,000,000","1,219,000,000","2,449,000,000","1,894,000,000","1,069,000,000","2,351,000,000","1,550,000,000","1,628,000,000","1,095,000,000","445,000,000"
TaxProvision,"146,000,000","256,000,000","-40,000,000","62,000,000","-132,000,000","-197,000,000","-624,000,000","-378,000,000","-51,000,000","256,000,000","150,000,000","325,000,000","70,000,000","602,000,000","407,000,000","431,000,000","132,000,000","-2,601,000,000","407,000,000","267,000,000","234,000,000","-132,000,000","277,000,000","204,000,000","198,000,000","166,000,000","767,000,000","440,000,000","391,000,000","203,000,000","538,000,000","487,000,000","426,000,000","373,000,000","286,000,000","514,000,000","671,000,000","509,000,000","848,000,000","712,000,000","431,000,000","339,000,000","499,000,000","588,000,000","418,000,000","157,000,000"
