name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005
NetIncomeCommonStockholders,"747,000,000","117,000,000","209,000,000","317,000,000","104,000,000","-23,000,000","82,000,000","-6,000,000","319,000,000","119,000,000","260,158,000","144,450,000","202,408,000","171,733,000","228,763,000","217,246,000","196,278,000","258,627,000","90,172,000","169,053,000","155,505,000","22,900,000","192,288,000","140,597,000","138,627,000","111,901,000","141,673,000","99,112,000","110,894,000","92,168,000","108,157,000","-94,726,000","84,869,000","81,984,000","-11,110,000","38,679,000","67,937,000","36,040,000","87,866,000","90,446,000","81,552,000","61,806,000","70,206,000","56,280,000","55,817,000","-10,157,000","50,635,000","44,005,000","38,045,000","445,000","41,611,000","41,388,000","40,304,000","39,599,000","37,989,000","35,999,000","32,170,000","26,968,000","24,675,000","22,121,000","21,514,000","20,335,000","15,222,000","-13,363,000","14,274,000","8,984,000"
	NetIncome,"793,000,000","163,000,000","209,000,000","317,000,000","104,000,000","50,000,000","82,000,000","-6,000,000","319,000,000","304,000,000","346,870,000","144,450,000","202,408,000","196,042,000","228,763,000","217,246,000","196,278,000","314,775,000","153,458,000","169,053,000","155,505,000","118,871,000","192,288,000","140,597,000","138,627,000","114,901,000","141,673,000","99,112,000","110,894,000","95,533,000","114,255,000","16,177,000","90,355,000","86,123,000","84,027,000","76,655,000","67,937,000","74,170,000","87,866,000","90,446,000","81,552,000","65,105,000","67,395,000","56,280,000","55,817,000","-7,347,000","50,635,000","44,005,000","38,045,000","445,000","41,611,000","41,388,000","40,304,000","39,599,000","37,989,000","35,999,000","32,170,000","26,968,000","24,675,000","22,121,000","21,514,000","20,335,000","15,222,000","-13,363,000","14,274,000","8,984,000"
		NetIncomeIncludingNoncontrollingInterests,"795,000,000","164,000,000","208,000,000","317,000,000","105,000,000","50,000,000","82,000,000","-6,000,000","319,000,000","305,000,000","348,027,000","144,610,000","202,408,000","196,042,000","228,763,000","217,246,000","196,278,000","314,775,000","153,458,000","169,053,000","155,505,000","118,871,000","192,288,000","140,597,000","138,627,000","114,901,000","141,673,000","99,112,000","110,894,000","95,533,000","114,255,000","16,177,000","90,355,000","86,123,000","84,027,000","76,655,000","67,937,000","74,170,000","87,866,000","90,446,000","81,552,000","65,105,000","67,395,000","56,280,000","55,817,000","-7,347,000","50,635,000","44,005,000","38,045,000","445,000","41,611,000","41,388,000","40,304,000","39,599,000","37,989,000","35,999,000","32,170,000","26,968,000","24,675,000","22,121,000","21,514,000","20,335,000","15,222,000","-13,363,000","14,274,000","8,984,000"
			NetIncomeContinuousOperations,"794,000,000","163,000,000","208,000,000","317,000,000","105,000,000","50,000,000","101,000,000","-5,000,000","323,000,000","234,000,000","297,595,000","144,610,000","202,632,000","196,042,000","230,294,000","217,391,000","201,840,000","312,011,000","185,112,000","169,053,000","155,505,000","118,871,000","192,288,000","140,597,000","138,627,000","114,901,000","141,673,000","99,112,000","110,894,000","95,533,000","114,255,000","16,177,000","90,355,000","86,123,000","84,027,000","76,655,000","67,937,000","74,170,000","87,866,000","90,446,000","81,552,000","65,105,000","64,313,000","58,368,000","36,673,000","-7,347,000","50,635,000","44,005,000","38,045,000","445,000","41,611,000","41,388,000","40,304,000","39,599,000","37,989,000","35,999,000","32,170,000","26,968,000","24,675,000","22,121,000","21,514,000","20,335,000","15,222,000","-13,363,000","14,274,000","8,984,000"
			NetIncomeDiscontinuousOperations,"1,000,000","1,000,000","0","0","0","0","-19,000,000","-1,000,000","-4,000,000","71,000,000","50,432,000","0","-224,000","0","-1,531,000","-145,000","-5,562,000","2,764,000","-30,689,000",,,,,,,,,,,,,,,,,,,,"0","0","0","0","3,082,000","-2,088,000","19,144,000",,,,,,,,,,,,,,,,,,,,,
		MinorityInterests,"-2,000,000","-1,000,000","1,000,000","0","-1,000,000","0","0","0","0","-1,000,000","-1,157,000","-160,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,299,000",,,,"2,810,000",,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,"46,000,000","46,000,000","0","0","0","73,000,000","0",,,"185,000,000","86,712,000","0","0","24,309,000","0","0","0","56,148,000","63,286,000","0","0","95,971,000","0","0","0","3,000,000","0","0","0","3,365,000","6,098,000","110,903,000","5,486,000","4,139,000","95,137,000","37,976,000","0","38,130,000",,,,,,,,,"0",,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"747,000,000","117,000,000","209,000,000","317,000,000","104,000,000","-23,000,000","82,000,000","-6,000,000","319,000,000","119,000,000","260,158,000","144,450,000","202,408,000","171,733,000","228,763,000","217,246,000","196,278,000","258,627,000","90,172,000","169,053,000","155,505,000","22,900,000","192,288,000","140,597,000","138,627,000","111,901,000","141,673,000","99,112,000","110,894,000","92,168,000","108,157,000","-94,726,000","84,869,000","81,984,000","-11,110,000","38,679,000","67,937,000","36,040,000","87,866,000","90,446,000","81,552,000","61,806,000","70,206,000","56,280,000","55,817,000","-10,157,000","50,635,000","44,005,000","38,045,000","445,000","41,611,000","41,388,000","40,304,000","39,599,000","37,989,000","35,999,000","32,170,000","26,968,000","24,675,000","22,121,000","21,514,000","20,335,000","15,222,000","-13,363,000","14,274,000","8,984,000"
BasicEPS,,"1.98","3.58","5.43","1.79","-0.42","1.43","-0.1","5.56","2.07","4.63","2.57","3.6","3.05","4.11","3.91","3.53","4.65","1.65","3.08","2.78","0.41","2.77","2.52","2.47","1.97","2.5","1.75","1.96","1.63","1.91","-1.66","1.49","1.44","-0.2","0.71","1.25","0.66","1.63","1.68","1.51","1.15",,"1.06","1.05","-0.19",,"0.83","0.72","0.01",,"0.86","0.84","0.81",,"0.75","0.68","0.57",,"0.48","0.48","0.45",,"-0.3","0.32","30.41"
DilutedEPS,,"1.98","3.58","5.43","1.79","-0.42","1.43","-0.1","5.56","2.07","4.63","2.57","3.6","3.05","4.11","3.91","3.53","4.65","1.65","3.08","2.78","0.41","2.77","2.52","2.47","1.97","2.5","1.75","1.96","1.63","1.91","-1.66","1.49","1.44","-0.2","0.71","1.25","0.66","1.63","1.68","1.51","1.15",,"1.06","1.05","-0.19",,"0.83","0.72","0.01",,"0.82","0.8","0.78",,"0.72","0.64","0.54",,"0.45","0.45","0.43",,"-0.3","0.3","28.81"
BasicAverageShares,,"59,200,000","58,400,000","58,400,000","58,400,000","54,700,000","57,300,000","57,300,000","57,400,000","57,400,000","56,265,000","56,265,000","56,265,000","56,266,000","55,595,000","55,597,000","55,605,000","55,600,000","54,796,000","54,890,000","55,894,000","56,524,000","55,832,000","55,832,000","56,134,000","56,805,000","56,610,000","56,608,000","56,604,000","56,591,000","56,731,000","57,170,000","57,068,000","56,991,000","56,862,000","54,506,000","54,453,000","54,453,000","53,882,000","53,882,000","53,882,000","53,882,000",,"53,333,000","53,333,000","53,328,000",,"52,923,000","52,922,000","52,869,000",,"48,376,000","48,261,000","48,603,000",,"48,084,000","47,605,000","47,223,000",,"45,800,000","44,972,000","44,773,000",,"44,578,000","44,255,000","295,500"
DilutedAverageShares,,"59,200,000","58,400,000","58,400,000","58,400,000","54,700,000","57,300,000","57,300,000","57,400,000","57,400,000","56,265,000","56,265,000","56,265,000","56,266,000","55,595,000","55,597,000","55,605,000","55,600,000","54,796,000","54,890,000","55,894,000","56,524,000","55,832,000","55,832,000","56,134,000","56,805,000","56,610,000","56,608,000","56,604,000","56,591,000","56,731,000","57,170,000","57,068,000","56,991,000","56,862,000","54,506,000","54,453,000","54,453,000","53,882,000","53,882,000","53,882,000","53,882,000",,"53,333,000","53,333,000","53,328,000",,"52,923,000","52,922,000","52,869,000",,"50,320,000","50,217,000","50,537,000",,"50,273,000","50,037,000","49,862,000",,"48,832,000","48,000,000","47,802,000",,"44,578,000","47,121,000","311,900"
TotalOperatingIncomeAsReported,"1,831,000,000","455,000,000","535,000,000","447,000,000","394,000,000","315,000,000","312,000,000","286,000,000","592,000,000","560,000,000","587,928,000","445,028,000","471,891,000","421,900,000","455,583,000","437,277,000","409,091,000","353,010,000","408,815,000","387,640,000","366,362,000","317,009,000","349,001,000","330,642,000","312,075,000","276,041,000","313,077,000","263,696,000","256,561,000","240,668,000","258,720,000","239,980,000","218,494,000","210,626,000","205,773,000","176,724,000","194,112,000","172,846,000","191,418,000","185,864,000","177,227,000","145,266,000","142,390,000","139,155,000","113,204,000","21,557,000","103,280,000","95,277,000","88,059,000","76,453,000","82,541,000","85,197,000","84,774,000","82,888,000","81,176,000","78,418,000","72,776,000","66,909,000","65,544,000","61,306,000","57,117,000","49,871,000","45,536,000","-4,307,000","42,601,000","34,337,000"
TotalExpenses,"3,029,000,000","735,000,000","739,000,000","767,000,000","789,000,000","779,000,000","854,000,000","720,000,000","844,000,000","900,000,000","774,866,000","1,175,189,000","703,063,000","565,534,000","593,013,000","539,666,000","522,057,000","493,812,000","502,991,000","516,570,000","502,934,000","495,531,000","518,071,000","460,429,000","476,922,000","422,323,000","487,053,000","423,410,000","358,930,000","346,026,000","382,523,000","370,302,000","369,500,000","317,983,000","332,575,000","306,689,000","270,835,000","256,940,000","271,888,000","275,796,000","246,242,000","207,207,000","200,563,000","186,054,000","198,141,000","218,489,000","119,837,000","118,905,000","118,018,000","107,825,000","114,813,000","104,678,000","108,273,000","98,388,000","108,062,000","107,634,000","102,509,000","96,227,000","102,494,000","96,307,000","87,321,000","72,838,000","70,356,000","115,163,000","65,675,000","65,983,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"793,000,000","163,000,000","209,000,000","317,000,000","104,000,000","50,000,000","82,000,000","-6,000,000","319,000,000","304,000,000","346,870,000","144,450,000","202,408,000","196,042,000","228,763,000","217,246,000","196,278,000","314,775,000","153,458,000","169,053,000","155,505,000","118,871,000","192,288,000","140,597,000","138,627,000","114,901,000","141,673,000","99,112,000","110,894,000","95,533,000","114,255,000","16,177,000","90,355,000","86,123,000","84,027,000","76,655,000","67,937,000","74,170,000","87,866,000","90,446,000","81,552,000","65,105,000","67,395,000","56,280,000","55,817,000","-7,347,000","50,635,000","44,005,000","38,045,000","445,000","41,611,000","41,388,000","40,304,000","39,599,000","37,989,000","35,999,000","32,170,000","26,968,000","24,675,000","22,121,000","21,514,000","20,335,000","15,222,000","-13,363,000","14,274,000","8,984,000"
NormalizedIncome,"750,210,526.316","165,372,000","212,623,693.38","272,200,000","112,844,000","63,230,000","106,110,000","6,680,000","329,706,000","236,995,000","308,502,733.048","171,272,400","218,550,000","200,673,500","230,947,629.22","220,421,300","203,392,300","312,671,000","183,323,679.843","171,569,500","158,324,700","120,155,000","199,828,922.265","145,375,400","144,009,000","117,211,000","148,484,167.813","102,110,800","113,372,000","95,667,800","114,891,104.667","16,409,500","92,211,400","86,587,800","84,904,200.125","80,211,300","68,413,700","74,641,800","87,414,631.353","90,446,000","81,552,000","65,105,000","64,338,409.301","58,392,849.412","36,673,000","-7,347,000","50,635,000","44,005,000","38,045,000","445,000","41,611,000","41,388,000","40,304,000","39,599,000","37,989,000","35,999,000","32,170,000","26,968,000","24,675,000","22,121,000","21,514,000","20,335,000","15,318,600","15,710,600","14,274,000","8,984,000"
InterestExpense,"1,056,000,000","264,000,000","261,000,000","263,000,000","268,000,000","267,000,000","267,000,000","262,000,000","252,000,000","248,000,000","245,052,000","241,292,000","201,409,000","172,000,000","173,232,000","167,577,000","161,266,000","160,933,000","156,516,000","152,227,000","147,842,000","146,004,000","139,767,000","120,812,000","111,288,000","111,983,000","113,162,000","106,796,000","99,892,000","98,935,000","96,933,000","87,613,000","82,289,000","80,853,000","81,246,000","62,469,000","64,094,000","62,876,000","55,152,000","55,393,000","52,300,000","49,061,000","48,703,000","49,860,000","54,137,000","32,554,000",,"28,222,000","28,414,000","28,515,000",,"21,226,000","21,640,000",,,,,,,,,,,,,
NetInterestIncome,"-1,093,000,000","-264,000,000","-262,000,000","-276,000,000","-292,000,000","-267,000,000","-268,000,000","-263,000,000","-255,000,000","-270,000,000","-244,525,000","-241,398,000","-204,707,000","-172,136,000","-173,718,000","-171,736,000","-161,904,000","-162,046,000","-160,387,000","-152,572,000","-151,349,000","-178,088,000","-139,907,000","-136,466,000","-111,288,000","-111,983,000","-113,396,000","-124,955,000","-99,892,000","-98,935,000","-97,065,000","-219,103,000","-82,289,000","-80,853,000","-81,246,000","-62,469,000","-94,375,000","-62,876,000","-55,152,000","-55,393,000","-52,300,000","-49,061,000","-48,703,000","-49,860,000","-54,137,000","-32,554,000","-27,085,000","-28,222,000","-28,414,000","-28,515,000","-19,550,000","-21,226,000","-21,640,000",,,,,,,,,,,,,
EBIT,"1,911,000,000","457,000,000","548,000,000","507,000,000","398,000,000","320,000,000","343,000,000","296,000,000","589,000,000","541,000,000","585,450,000","446,811,000","468,593,000","421,764,000","455,097,000","433,118,000","408,453,000","351,897,000","404,944,000","387,295,000","362,855,000","284,925,000","348,861,000","314,988,000","312,075,000","276,041,000","312,843,000","245,537,000","256,561,000","240,668,000","258,588,000","108,490,000","218,494,000","210,626,000","205,773,000","176,724,000","163,831,000","172,846,000","191,418,000","185,864,000","177,227,000","145,266,000","142,353,000","139,117,000","111,555,000","21,557,000","103,280,000","95,277,000","88,059,000","76,453,000","82,541,000","85,197,000","84,774,000","82,888,000","81,176,000","78,418,000","72,776,000","66,909,000","65,544,000","61,306,000","57,117,000","49,871,000","45,536,000","-4,307,000","42,601,000","34,157,000"
EBITDA,"2,171,000,000"
ReconciledCostOfRevenue,"2,135,000,000","504,000,000","525,000,000","535,000,000","572,000,000","538,000,000","606,000,000","503,000,000","599,000,000","635,000,000","523,110,000","867,371,000","518,855,000","413,816,000","436,503,000","396,441,000","385,487,000","357,773,000","368,717,000","372,546,000","369,355,000","357,283,000","378,302,000","343,265,000","360,286,000","317,222,000","372,557,000","318,889,000","269,366,000","256,944,000","284,979,000","274,681,000","274,919,000","237,744,000","249,095,000","213,127,000","199,714,000","184,988,000","199,328,000","202,082,000","181,521,000","147,575,000","144,491,000","138,133,000","146,693,000","107,900,000","86,692,000","91,747,000","85,198,000","75,865,000","85,553,000","78,588,000","80,973,000","73,499,000","84,641,000","81,349,000","77,606,000","70,932,000","75,816,000","71,437,000","65,655,000","56,063,000","54,205,000","27,657,000","48,054,000","47,323,000"
ReconciledDepreciation,"260,000,000","65,000,000","65,000,000","64,000,000","66,000,000","58,000,000","72,000,000","70,000,000","72,000,000","69,000,000","78,156,000","71,318,000","40,808,000","35,418,000","34,310,000","33,925,000","30,970,000","30,639,000","31,174,000","36,924,000","34,879,000","38,048,000","36,569,000","29,564,000","29,336,000","26,201,000","25,896,000","26,921,000","19,064,000","21,782,000","21,844,000","24,821,000","25,881,000","23,839,000","23,680,000","16,062,000","16,321,000","17,452,000","17,581,000","17,617,000","15,247,000","17,782,000","17,601,000","16,372,000","17,658,000","8,829,000","7,631,000","3,814,000","9,226,000","9,494,000","7,179,000","6,741,000","6,888,000","6,713,000","4,320,000","6,968,000","6,543,000","7,423,000","7,835,000","7,530,000","7,080,000","4,654,000","4,740,000","27,507,000","5,195,000","5,390,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"792,000,000","162,000,000","209,000,000","317,000,000","104,000,000","50,000,000","101,000,000","-5,000,000","323,000,000","233,000,000","296,438,000","144,450,000","202,632,000","196,042,000","230,294,000","217,391,000","201,840,000","312,011,000","185,112,000","169,053,000","155,505,000","118,871,000","192,288,000","140,597,000","138,627,000","114,901,000","141,673,000","99,112,000","110,894,000","95,533,000","114,255,000","16,177,000","90,355,000","86,123,000","84,027,000","76,655,000","67,937,000","74,170,000","87,866,000","90,446,000","81,552,000","65,105,000","64,313,000","58,368,000","36,673,000","-7,347,000","50,635,000","44,005,000","38,045,000","445,000","41,611,000","41,388,000","40,304,000","39,599,000","37,989,000","35,999,000","32,170,000","26,968,000","24,675,000","22,121,000","21,514,000","20,335,000","15,222,000","-13,363,000","14,274,000","8,984,000"
TotalUnusualItemsExcludingGoodwill,"45,000,000","-4,000,000","-5,000,000","64,000,000","-11,000,000","-14,000,000","-7,000,000","-16,000,000","-7,000,000","-5,000,000","-13,800,000","-38,100,000","-21,000,000","-5,900,000","-800,000","-3,700,000","-1,900,000","-1,100,000","2,400,000","-3,500,000","-3,900,000","-1,500,000","-8,200,000","-6,600,000","-7,800,000","-3,300,000","-9,600,000","-4,200,000","-3,500,000","-200,000","-900,000","-300,000","-2,800,000","-700,000","-1,300,000","-5,300,000","-700,000","-700,000","700,000","0","0","0","-37,000","-38,000",,,,,,,,,,,,,,,,,,,"-161,000","-48,456,000",,
TotalUnusualItems,"45,000,000","-4,000,000","-5,000,000","64,000,000","-11,000,000","-14,000,000","-7,000,000","-16,000,000","-7,000,000","-5,000,000","-13,800,000","-38,100,000","-21,000,000","-5,900,000","-800,000","-3,700,000","-1,900,000","-1,100,000","2,400,000","-3,500,000","-3,900,000","-1,500,000","-8,200,000","-6,600,000","-7,800,000","-3,300,000","-9,600,000","-4,200,000","-3,500,000","-200,000","-900,000","-300,000","-2,800,000","-700,000","-1,300,000","-5,300,000","-700,000","-700,000","700,000","0","0","0","-37,000","-38,000",,,,,,,,,,,,,,,,,,,"-161,000","-48,456,000",,
NormalizedEBITDA,"2,126,000,000","526,000,000","618,000,000","507,000,000","475,000,000","392,000,000","422,000,000","382,000,000","668,000,000","615,000,000","677,406,000","556,229,000","530,401,000","463,082,000","490,207,000","470,743,000","441,323,000","383,636,000","433,718,000","427,719,000","401,634,000","324,473,000","393,630,000","351,152,000","349,211,000","305,542,000","348,339,000","276,658,000","279,125,000","262,650,000","281,332,000","133,611,000","247,175,000","235,165,000","230,753,000","198,086,000","180,852,000","190,998,000","208,299,000","203,481,000","192,474,000","163,048,000","159,991,000","155,527,000","129,213,000","30,386,000","110,911,000","99,091,000","97,285,000","85,947,000","89,720,000","91,938,000","91,662,000","89,601,000","85,496,000","85,386,000","79,319,000","74,332,000","73,379,000","68,836,000","64,197,000","54,525,000","50,437,000","71,656,000","47,796,000","39,547,000"
TaxRateForCalcs,"0.071","0.157","0.275","0.3","0.196","0.055","0.27","0.27","0.042","0.201","0.126","0.296","0.242","0.215","0.183","0.181","0.183","0.4","0.255","0.281","0.277","0.144","0.08","0.276","0.31","0.3","0.291","0.286","0.292","0.326","0.293","0.225","0.337","0.336","0.325","0.329","0.319","0.326","0.355","0.307","0.347","0.323","0.313","0.346","0.361","0.332","0.335","0.344","0.362","0.358","0.339","0.353","0.362","0.35","0.355","0.364","0.34","0.364","0.385","0.375","0.377","0.366","0.4","0.4","0.385","0.382"
TaxEffectOfUnusualItems,"3,210,526.316","-628,000","-1,376,306.62","19,200,000","-2,156,000","-770,000","-1,890,000","-4,320,000","-294,000","-1,005,000","-1,735,266.952","-11,277,600","-5,082,000","-1,268,500","-146,370.78","-669,700","-347,700","-440,000","611,679.843","-983,500","-1,080,300","-216,000","-659,077.735","-1,821,600","-2,418,000","-990,000","-2,788,832.187","-1,201,200","-1,022,000","-65,200","-263,895.333","-67,500","-943,600","-235,200","-422,799.875","-1,743,700","-223,300","-228,200","248,631.353","0","0","0","-11,590.699","-13,150.588","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-64,400","-19,382,400","0","0"