name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000
			NetIncomeContinuousOperations,"836,300,000","317,900,000","226,900,000","199,800,000","91,700,000","311,000,000","231,700,000","-293,800,000","-677,100,000","298,800,000","20,000,000","148,900,000","117,400,000","254,800,000","122,300,000","211,700,000","140,300,000","63,200,000","-17,700,000","151,700,000","122,200,000","199,700,000","117,400,000","81,500,000","112,500,000","170,100,000","96,400,000","11,700,000","88,100,000","183,500,000","119,100,000","75,275,000","190,740,000","297,438,000","217,883,000","221,343,000","238,932,000","352,764,000","221,381,000","251,430,000","225,002,000","347,495,000","214,983,000","202,481,000","186,015,000","303,428,000","188,876,000","195,527,000","157,636,000","240,950,000","140,827,000","145,793,000","114,859,000","216,906,000","145,811,000","213,524,000","162,412,000","252,317,000","154,786,000","159,403,000","147,390,000","227,473,000","125,616,000","117,642,000","108,846,000","174,174,000","93,615,000","97,565,000","89,239,000","134,123,000","67,725,000","65,670,000","58,311,000","95,438,000","42,329,000","29,864,000","31,853,000","62,431,000","22,480,000","17,306,000","11,817,000","44,166,000","12,538,000","9,242,000","7,993,000","39,204,000","7,591,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","-4,000",,"20,000","1,209,000","2,574,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		MinorityInterests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-107,000","-4,241,000","-6,372,000","-2,921,000","-4,851,000","-5,212,000","-5,287,000","-2,693,000","-2,422,000","-1,594,000","-2,276,000","-1,316,000","1,039,000","-689,000","-802,000","268,000",,,,
DilutedNIAvailtoComStockholders,"836,300,000","317,900,000","226,900,000","199,800,000","91,700,000","311,000,000","231,700,000","-293,800,000","-677,100,000","298,800,000","20,000,000","148,900,000","117,400,000","254,800,000","122,300,000","211,700,000","140,300,000","63,200,000","-17,700,000","151,700,000","122,200,000","199,700,000","117,400,000","81,500,000","112,500,000","170,100,000","96,400,000","11,700,000","88,100,000","183,500,000","119,100,000","75,275,000","190,740,000","297,438,000","217,883,000","221,343,000","238,932,000","352,764,000","221,381,000","251,430,000","225,002,000","347,495,000","214,983,000","202,481,000","186,015,000","303,428,000","188,876,000","195,527,000","157,636,000","240,950,000","140,827,000","145,793,000","114,859,000","216,906,000","145,811,000","213,524,000","162,408,000","252,317,000","154,806,000","160,612,000","149,964,000","227,473,000","125,616,000","117,642,000","108,846,000","174,174,000","93,615,000","97,565,000","89,239,000","134,123,000","67,725,000","65,670,000","58,311,000","95,438,000","42,329,000","29,864,000","31,853,000","62,431,000","22,480,000","17,306,000","11,817,000","44,166,000","12,538,000","9,242,000","7,993,000","39,204,000","7,591,000"
BasicEPS,,"1.17","0.82","0.72","0.33","1.12","0.84","-1.06","-2.45","1.08","0.07","0.51","0.4","0.88","0.42","0.74","0.49","0.22","-0.06",,"0.44","0.71","0.42","0.29","0.4","0.61","0.35","0.04","0.32","0.67","0.43","0.27","0.69","1.07","0.77","0.79","0.85","1.25","0.78",,"0.78","1.2","0.74",,"0.63","1.02","0.64",,"0.51","0.76","0.44",,"0.36","0.67","0.44",,"0.47","0.7","0.42",,"0.41","0.62","0.34",,"0.28","0.46","0.25",,"0.24","0.355","0.18",,"0.155","0.26","0.115",,"0.088","0.175","0.063",,"0.034","0.126","0.036",,"0.023","0.113","0.021"
DilutedEPS,,"1.15","0.8","0.69","0.32","1.11","0.83","-1.06","-2.45","1.08","0.07","0.51","0.4","0.88","0.42","0.73","0.48","0.22","-0.06",,"0.43","0.71","0.42","0.29","0.4","0.61","0.35","0.04","0.32","0.66","0.43","0.27","0.68","1.06","0.77","0.78","0.84","1.23","0.77",,"0.77","1.18","0.73",,"0.62","1","0.63",,"0.5","0.75","0.44",,"0.36","0.67","0.44",,"0.46","0.69","0.41",,"0.4","0.61","0.34",,"0.28","0.45","0.24",,"0.23","0.345","0.175",,"0.15","0.25","0.11",,"0.085","0.17","0.06",,"0.033","0.124","0.035",,"0.023","0.11","0.021"
BasicAverageShares,,"271,100,000","278,200,000","279,200,000","278,200,000","277,500,000","276,800,000","276,200,000","276,100,000","276,000,000","284,400,000","289,100,000","290,000,000","289,900,000","288,800,000","287,900,000","286,200,000","284,500,000","283,200,000",,"280,800,000","280,500,000","279,500,000","278,200,000","277,800,000","277,600,000","277,100,000","276,400,000","275,900,000","275,600,000","275,000,000","274,223,000","276,107,000","279,085,000","281,433,000","281,327,000","280,818,000","282,693,000","284,569,000",,"287,569,000","289,812,000","289,778,000",,"294,841,000","297,214,000","296,304,000",,"309,249,000","317,458,000","318,286,000",,"320,163,000","323,655,000","331,865,000",,"348,125,000","362,167,000","372,186,000",,"370,264,000","368,138,000","368,171,000",,"383,739,000","380,837,000","379,551,000",,"379,695,000","379,354,000","377,982,000",,"374,012,000","370,462,000","367,176,000",,"360,924,000","355,912,000","354,916,000",,"353,696,000","349,520,000","349,256,000",,"348,104,000","348,104,000","348,104,000"
DilutedAverageShares,,"277,200,000","285,200,000","287,600,000","285,600,000","281,000,000","277,900,000","276,200,000","276,600,000","276,700,000","285,700,000","289,800,000","290,900,000","291,000,000","292,000,000","291,300,000","290,100,000","286,400,000","286,700,000",,"282,900,000","281,800,000","281,900,000","281,100,000","279,500,000","278,400,000","278,300,000","278,500,000","277,400,000","276,500,000","276,400,000","276,408,000","278,750,000","281,534,000","284,513,000","285,317,000","284,624,000","286,223,000","288,497,000",,"293,496,000","295,509,000","296,068,000",,"301,620,000","304,655,000","301,249,000",,"313,960,000","321,381,000","321,115,000",,"321,355,000","325,168,000","334,023,000",,"351,593,000","366,569,000","379,285,000",,"379,289,000","375,496,000","373,672,000",,"391,453,000","390,620,000","389,972,000",,"391,609,000","390,514,000","389,492,000",,"387,138,000","383,970,000","381,918,000",,"372,984,000","367,724,000","367,968,000",,"366,584,000","357,656,000","360,800,000",,"363,080,000","356,104,000","349,360,000"
TotalOperatingIncomeAsReported,"1,134,200,000","462,800,000","295,000,000","259,700,000","116,700,000","389,400,000","202,200,000","-280,000,000","-685,500,000","363,100,000","51,600,000","169,900,000","105,800,000","380,700,000","157,700,000","187,200,000","159,000,000","346,400,000","-21,800,000","193,000,000","151,100,000","277,400,000","165,900,000","116,800,000","134,300,000","261,000,000","141,400,000","38,800,000","124,000,000","275,400,000","179,800,000","99,788,000","262,709,000","435,943,000","321,634,000","317,754,000","348,493,000","526,577,000","331,717,000","351,630,000","337,492,000","500,901,000","321,966,000","312,092,000","253,837,000","453,335,000","285,660,000","296,965,000","249,122,000","380,837,000","223,247,000","204,687,000","185,377,000","348,363,000","233,486,000","248,616,000","256,692,000","403,063,000","238,758,000","245,401,000","226,627,000","361,987,000","197,666,000","180,117,000","165,436,000","273,942,000","145,109,000","141,409,000","145,831,000","223,135,000","111,435,000","111,267,000","100,869,000","160,704,000","71,625,000","50,807,000","52,747,000","102,600,000","37,608,000","24,964,000","19,260,000","69,941,000","19,470,000","15,458,000","12,726,000","61,712,000","16,742,000"
TotalExpenses,"5,376,600,000","1,678,400,000","1,185,900,000","1,355,700,000","1,156,600,000","1,296,000,000","970,000,000","994,800,000","1,280,500,000","1,452,900,000","1,306,300,000","1,343,800,000","1,225,600,000","1,420,100,000","1,223,500,000","1,296,500,000","1,163,400,000","1,438,600,000","1,310,700,000","940,800,000","844,100,000","1,044,300,000","871,700,000","1,037,800,000","898,800,000","1,012,800,000","888,900,000","965,300,000","805,300,000","944,000,000","859,000,000","1,036,428,000","836,917,000","983,681,000","829,126,000","904,934,000","839,085,000","977,197,000","829,633,000","803,561,000","771,489,000","947,748,000","728,393,000","719,583,000","696,869,000","811,122,000","626,009,000","653,560,000","581,547,000","684,168,000","538,190,000","573,057,000","554,562,000","611,893,000","519,043,000","532,884,000","487,830,000","574,954,000","437,960,000","406,728,000","398,676,000","474,400,000","356,185,000","334,238,000","332,423,000","376,394,000","303,842,000","277,251,000","270,108,000","308,624,000","332,630,000","226,878,000","212,204,000","250,809,000","186,750,000","180,709,000","167,649,000","205,923,000","155,183,000","147,510,000","137,844,000","165,809,000","131,232,000","121,313,000","117,872,000","152,446,000","117,810,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"836,300,000","317,900,000","226,900,000","199,800,000","91,700,000","311,000,000","231,700,000","-293,800,000","-677,100,000","298,800,000","20,000,000","148,900,000","117,400,000","254,800,000","122,300,000","211,700,000","140,300,000","63,200,000","-17,700,000","151,700,000","122,200,000","199,700,000","117,400,000","81,500,000","112,500,000","170,100,000","96,400,000","11,700,000","88,100,000","183,500,000","119,100,000","75,275,000","190,740,000","297,438,000","217,883,000","221,343,000","238,932,000","352,764,000","221,381,000","251,430,000","225,002,000","347,495,000","214,983,000","202,481,000","186,015,000","303,428,000","188,876,000","195,527,000","157,636,000","240,950,000","140,827,000","145,793,000","114,859,000","216,906,000","145,811,000","213,524,000","162,408,000","252,317,000","154,806,000","160,612,000","149,964,000","227,473,000","125,616,000","117,642,000","108,846,000","174,174,000","93,615,000","97,565,000","89,239,000","134,123,000","67,725,000","65,670,000","58,311,000","95,438,000","42,329,000","29,864,000","31,853,000","62,431,000","22,480,000","17,306,000","11,817,000","44,166,000","12,538,000","9,242,000","7,993,000","39,204,000","7,591,000"
NormalizedIncome,"881,012,574.671","361,661,163.804","226,900,000","199,800,000","91,700,000","311,000,000","231,700,000","-293,800,000","-218,508,000","298,800,000","20,000,000","148,900,000","117,400,000","254,800,000","122,300,000","211,700,000","140,300,000","63,200,000","-17,700,000","151,700,000","122,200,000","199,700,000","117,400,000","81,500,000","112,500,000","170,100,000","96,400,000","11,700,000","88,100,000","183,500,000","119,100,000","75,275,000","190,740,000","297,438,000","217,883,000","221,343,000","238,932,000","352,764,000","222,773,384","252,784,426.707","226,294,430","348,716,833.44","215,972,740.951","203,568,076.325","186,848,775.411","304,181,806.733","189,412,620.951","195,527,000","157,636,000","240,950,000","140,827,000","145,793,000","114,859,000","216,906,000","145,811,000","213,524,000","162,412,000","252,317,000","154,786,000","159,403,000","147,390,000","227,473,000","125,616,000","117,642,000","108,846,000","174,174,000","93,615,000","97,565,000","89,239,000","134,123,000","67,725,000","65,670,000","58,311,000","95,438,000","42,329,000","29,864,000","31,853,000","62,431,000","22,480,000","16,599,917.711","14,698,236.887","44,166,000","12,538,000","9,231,013.605","7,757,032.287","39,204,000","10,808,351.657"
InterestIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"365,000","257,000",,"114,000","261,000","292,000","230,000","248,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"65,300,000","15,900,000","16,100,000","16,400,000","16,900,000","18,700,000","19,400,000","20,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-65,300,000","-15,900,000","-16,100,000","-16,400,000","-16,900,000","-18,700,000","-19,400,000","-20,300,000","-13,500,000","-14,000,000","-12,300,000","-11,000,000","-10,600,000","-13,200,000","-13,100,000","-14,400,000","-16,900,000","-22,200,000","-20,500,000","-13,600,000","-4,000,000","-5,100,000","-5,700,000","-7,400,000","-6,500,000","-6,300,000","-6,700,000","-6,300,000","-1,200,000","400,000","700,000","529,000","-1,929,000","1,953,000","1,622,000","1,046,000","1,021,000","266,000","36,000","365,000","257,000","-16,000","114,000","261,000","292,000","230,000","248,000","2,137,000","104,000","112,000","-596,000","2,111,000","-121,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"1,069,700,000","406,000,000","292,800,000","258,600,000","112,300,000","393,000,000","204,800,000","-771,000,000","-207,800,000","363,100,000","51,600,000","169,900,000","105,800,000","380,700,000","157,700,000","187,200,000","159,000,000","346,400,000","-21,800,000","193,000,000","151,100,000","277,400,000","165,900,000","116,800,000","134,300,000","261,000,000","141,400,000","38,800,000","124,000,000","275,400,000","179,800,000","99,788,000","262,709,000","435,943,000","321,634,000","317,754,000","348,493,000","526,577,000","331,717,000","351,630,000","337,492,000","500,901,000","321,966,000","312,092,000","253,837,000","453,335,000","285,660,000","296,965,000","249,122,000","380,837,000","223,247,000","204,687,000","185,377,000","348,363,000","233,486,000","248,616,000","256,692,000","403,063,000","238,758,000","245,401,000","226,627,000","361,987,000","197,666,000","180,117,000","165,436,000","273,942,000","145,109,000","141,409,000","145,831,000","223,135,000","11,435,000","111,267,000","100,869,000","160,704,000","71,625,000","50,807,000","52,747,000","102,600,000","37,608,000","23,870,000","23,727,000","69,941,000","19,470,000","15,458,000","12,726,000","61,712,000","16,742,000"
EBITDA,"1,285,600,000"
ReconciledCostOfRevenue,"1,906,700,000","683,800,000","412,200,000","449,300,000","361,400,000","511,700,000","342,000,000","215,900,000","456,500,000","606,300,000","443,400,000","514,500,000","415,500,000","597,300,000","446,100,000","480,500,000","413,500,000","607,600,000","524,500,000","379,300,000","289,500,000","415,500,000","322,900,000","371,900,000","320,100,000","414,700,000","333,800,000","316,400,000","263,800,000","379,400,000","323,400,000","429,844,000","318,287,000","436,945,000","324,187,000","335,278,000","307,390,000","418,392,000","316,182,000","317,044,000","290,914,000","403,438,000","285,706,000","291,136,000","259,051,000","349,281,000","235,498,000","253,526,000","215,094,000","294,066,000","211,259,000","230,426,000","214,876,000","268,220,000","194,336,000","188,208,000","186,204,000","240,745,000","158,497,000","142,853,000","138,893,000","191,911,000","129,171,000","111,282,000","108,090,000","145,660,000","107,590,000","93,704,000","91,266,000","128,791,000","85,891,000","78,632,000","75,556,000","106,370,000","70,466,000","61,960,000","60,589,000","91,681,000","61,567,000","57,313,000","50,465,000","74,132,000","54,131,000","65,846,000","39,727,000","68,317,000","43,946,000"
ReconciledDepreciation,"215,900,000","48,800,000","50,800,000","51,500,000","64,800,000","51,200,000","51,200,000","53,400,000","69,900,000","60,800,000","64,200,000","78,400,000","63,500,000","65,300,000","61,000,000","71,700,000","62,300,000","60,800,000","65,500,000","64,100,000","48,500,000","47,900,000","52,300,000","54,000,000","49,500,000","52,700,000","54,400,000","54,600,000","47,400,000","46,500,000","43,300,000","51,252,000","45,169,000","47,975,000","44,964,000","47,321,000","38,785,000","40,777,000","36,104,000","34,176,000","33,651,000","33,028,000","32,054,000","31,257,000","30,370,000","31,228,000","32,251,000","32,733,000","32,578,000","28,053,000","33,380,000","31,191,000","30,731,000","30,401,000","30,691,000","25,756,000","25,809,000","24,411,000","24,728,000","21,329,000","20,642,000","20,084,000","18,832,000","17,081,000","16,409,000","17,636,000","13,989,000","13,863,000","15,454,000","14,296,000","13,420,000","12,315,000","12,016,000","9,678,000","8,845,000","9,308,000","7,416,000","7,027,000","6,480,000","6,822,000","6,375,000","6,362,000","5,935,000","7,139,000","5,545,000","5,829,000","5,618,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"836,300,000","317,900,000","226,900,000","199,800,000","91,700,000","311,000,000","231,700,000","-293,800,000","-677,100,000","298,800,000","20,000,000","148,900,000","117,400,000","254,800,000","122,300,000","211,700,000","140,300,000","63,200,000","-17,700,000","151,700,000","122,200,000","199,700,000","117,400,000","81,500,000","112,500,000","170,100,000","96,400,000","11,700,000","88,100,000","183,500,000","119,100,000","75,275,000","190,740,000","297,438,000","217,883,000","221,343,000","238,932,000","352,764,000","221,381,000","251,430,000","225,002,000","347,495,000","214,983,000","202,481,000","186,015,000","303,428,000","188,876,000","195,527,000","157,636,000","240,950,000","140,827,000","145,793,000","114,859,000","216,906,000","145,811,000","213,524,000","162,412,000","252,317,000","154,786,000","159,403,000","147,390,000","227,473,000","125,616,000","117,642,000","108,846,000","174,174,000","93,615,000","97,565,000","89,239,000","134,123,000","67,725,000","65,670,000","58,311,000","95,438,000","42,329,000","29,864,000","31,853,000","62,431,000","22,480,000","17,306,000","11,817,000","44,166,000","12,538,000","9,242,000","7,993,000","39,204,000","7,591,000"
TotalUnusualItemsExcludingGoodwill,"-53,700,000","-53,700,000",,"0","0",,,"0","-477,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,072,000","-1,886,000","-1,929,000","-1,755,000","-1,476,000","-1,668,000","-1,134,000","-1,124,000","-810,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,094,000","-4,467,000",,,"18,000","363,000",,"-4,950,000"
TotalUnusualItems,"-53,700,000","-53,700,000",,"0","0",,,"0","-477,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,072,000","-1,886,000","-1,929,000","-1,755,000","-1,476,000","-1,668,000","-1,134,000","-1,124,000","-810,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,094,000","-4,467,000",,,"18,000","363,000",,"-4,950,000"
NormalizedEBITDA,"1,339,300,000","508,500,000","343,600,000","310,100,000","177,100,000","444,200,000","256,000,000","-717,600,000","339,800,000","423,900,000","115,800,000","248,300,000","169,300,000","446,000,000","218,700,000","258,900,000","221,300,000","407,200,000","43,700,000","257,100,000","199,600,000","325,300,000","218,200,000","170,800,000","183,800,000","313,700,000","195,800,000","93,400,000","171,400,000","321,900,000","223,100,000","151,040,000","307,878,000","483,918,000","366,598,000","365,075,000","387,278,000","567,354,000","369,893,000","387,692,000","373,072,000","535,684,000","355,496,000","345,017,000","285,341,000","485,687,000","318,721,000","329,698,000","281,700,000","408,890,000","256,627,000","235,878,000","216,108,000","378,764,000","264,177,000","274,372,000","282,501,000","427,474,000","263,486,000","266,730,000","247,269,000","382,071,000","216,498,000","197,198,000","181,845,000","291,578,000","159,098,000","155,272,000","161,285,000","237,431,000","24,855,000","123,582,000","112,885,000","170,382,000","80,470,000","60,115,000","60,163,000","109,627,000","44,088,000","29,598,000","34,569,000","76,303,000","25,405,000","22,579,000","17,908,000","67,541,000","27,310,000"
TaxRateForCalcs,"0.167","0.185","0.18","0.175","0.038","0.169","0.27","0.023","0.04","0.158","0.248","0.063","0.27","0.307","0.155","0.27","0.013","0.4","0.4","0.154","0.169","0.266","0.267","0.255","0.12","0.332","0.284","0.4","0.283","0.335","0.34","0.25","0.269","0.321","0.326","0.303","0.313","0.329","0.328","0.282","0.33","0.304","0.329","0.348","0.265","0.329","0.338","0.346","0.367","0.368","0.367","0.295","0.38","0.378","0.383","0.183","0.39","0.39","0.39","0.385","0.385","0.385","0.385","0.38","0.38","0.38","0.38","0.332","0.38","0.38","0.38","0.375","0.375","0.375","0.375","0.37","0.37","0.37","0.37","0.355","0.355","0.355","0.35","0.39","0.35","0.35","0.35"
TaxEffectOfUnusualItems,"-8,987,425.329","-9,938,836.196","0","0","0","0","0","0","-19,108,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-679,616","-531,573.293","-636,570","-533,166.56","-486,259.049","-580,923.675","-300,224.589","-370,193.267","-273,379.049","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","387,917.711","-1,585,763.113","0","0","7,013.605","127,032.287","0","-1,732,648.343"