name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
TotalRevenue,"5,077,482,000","1,567,220,000","1,283,817,000","1,190,427,000","1,036,018,000","1,289,041,000","936,233,000","683,438,000","807,637,000","1,007,341,000","823,717,000","841,381,000","786,890,000","908,836,000","758,111,000","710,541,000","664,871,000","731,560,000","589,633,000","573,855,000","548,251,000","717,206,000","615,934,000","601,958,000","594,521,000","710,473,000","569,237,000","502,383,000","435,939,000","479,078,000","361,266,000","312,166,000","250,492,000","242,675,000","168,580,000","139,292,000","114,343,000","112,247,000","82,327,000"
	OperatingRevenue,"5,077,482,000","1,567,220,000","1,283,817,000","1,190,427,000","1,036,018,000","1,289,041,000","936,233,000","683,438,000","807,637,000","1,007,341,000","823,717,000","841,381,000","786,890,000","908,836,000","758,111,000","710,541,000","664,871,000","731,560,000","589,633,000","573,855,000","548,251,000","717,206,000","615,934,000","601,958,000","594,521,000","710,473,000","569,237,000","502,383,000","435,939,000","479,078,000","361,266,000","312,166,000","250,492,000","242,675,000","168,580,000","139,292,000","114,343,000","112,247,000","82,327,000"
CostOfRevenue,"1,797,510,000","515,091,000","484,479,000","416,932,000","381,008,000","432,924,000","361,388,000","288,039,000","284,037,000","314,008,000","281,057,000","277,965,000","264,011,000","268,345,000","243,644,000","230,185,000","222,823,000","217,979,000","210,016,000","212,908,000","220,339,000","305,710,000","225,159,000","202,966,000","198,405,000","217,963,000","200,195,000","167,623,000","143,475,000","136,613,000","124,166,000","100,027,000","85,503,000","112,651,000","62,239,000","50,573,000","41,255,000","36,918,000","33,693,000"
GrossProfit,"3,279,972,000","1,052,129,000","799,338,000","773,495,000","655,010,000","856,117,000","574,845,000","395,399,000","523,600,000","693,333,000","542,660,000","563,416,000","522,879,000","640,491,000","514,467,000","480,356,000","442,048,000","513,581,000","379,617,000","360,947,000","327,912,000","411,496,000","390,775,000","398,992,000","396,116,000","492,510,000","369,042,000","334,760,000","292,464,000","342,465,000","237,100,000","212,139,000","164,989,000","130,024,000","106,341,000","88,719,000","73,088,000","75,329,000","48,634,000"
OperatingExpense,"3,007,010,000","884,754,000","776,185,000","743,243,000","602,828,000","604,193,000","518,738,000","669,329,000","531,043,000","540,449,000","498,515,000","487,730,000","429,221,000","433,583,000","422,599,000","400,732,000","367,123,000","403,483,000","372,338,000","399,306,000","368,190,000","555,123,000","468,864,000","485,368,000","455,232,000","559,689,000","474,279,000","465,764,000","439,080,000","440,618,000","398,531,000","362,050,000","294,360,000","639,700,000","169,673,000","127,635,000","96,995,000","84,105,000","69,935,000"
	SellingGeneralAndAdministration,"1,760,306,000","512,870,000","451,933,000","443,384,000","352,119,000","356,253,000","309,861,000","453,523,000","330,655,000","342,209,000","319,962,000","328,488,000","282,975,000","292,409,000","271,835,000","262,158,000","243,777,000","269,487,000","236,223,000","256,135,000","239,462,000","352,995,000","291,815,000","306,857,000","299,438,000","349,631,000","266,342,000","266,857,000","249,334,000","258,903,000","215,189,000","184,955,000","144,969,000","244,852,000","82,366,000","63,372,000","49,421,000","43,765,000","37,616,000"
		GeneralAndAdministrativeExpense,"584,336,000","174,472,000","150,855,000","141,482,000","117,527,000","112,251,000","94,576,000","246,237,000","109,368,000","100,648,000","93,758,000","88,239,000","77,176,000","80,635,000","78,339,000","74,126,000","65,718,000","79,915,000","63,266,000","70,839,000","69,868,000","92,392,000","67,379,000","70,238,000","63,267,000","72,442,000","57,545,000","64,909,000","65,777,000","55,304,000","51,174,000","44,694,000","38,734,000","67,547,000","21,152,000","18,114,000","16,982,000","14,981,000","13,954,000"
			OtherGandA,"584,336,000","174,472,000","150,855,000","141,482,000","117,527,000","112,251,000","94,576,000","246,237,000","109,368,000","100,648,000","93,758,000","88,239,000","77,176,000","80,635,000","78,339,000","74,126,000","65,718,000","79,915,000","63,266,000","70,839,000","69,868,000","92,392,000","67,379,000","70,238,000","63,267,000","72,442,000","57,545,000","64,909,000","65,777,000","55,304,000","51,174,000","44,694,000","38,734,000","67,547,000","21,152,000","18,114,000","16,982,000","14,981,000","13,954,000"
		SellingAndMarketingExpense,"1,175,970,000","338,398,000","301,078,000","301,902,000","234,592,000","244,002,000","215,285,000","207,286,000","221,287,000","241,561,000","226,204,000","240,249,000","205,799,000","211,774,000","193,496,000","188,032,000","178,059,000","189,572,000","172,957,000","185,296,000","169,594,000","260,603,000","224,436,000","236,619,000","236,171,000","277,189,000","208,797,000","201,948,000","183,557,000","203,599,000","164,015,000","140,261,000","106,235,000","177,305,000","61,214,000","45,258,000","32,439,000","28,784,000","23,662,000"
	ResearchAndDevelopment,"1,246,704,000","371,884,000","324,252,000","299,859,000","250,709,000","247,940,000","208,877,000","215,806,000","200,388,000","198,240,000","178,553,000","159,242,000","146,246,000","141,174,000","150,764,000","138,574,000","123,346,000","133,996,000","136,115,000","143,171,000","128,728,000","202,128,000","177,049,000","178,511,000","155,794,000","210,058,000","207,937,000","198,907,000","189,746,000","181,715,000","183,342,000","177,095,000","149,391,000","394,848,000","87,307,000","64,263,000","47,574,000","40,340,000","32,319,000"
OperatingIncome,"272,962,000","167,375,000","23,153,000","30,252,000","52,182,000","251,924,000","56,107,000","-273,930,000","-7,443,000","152,884,000","44,145,000","75,686,000","93,658,000","206,908,000","91,868,000","79,624,000","74,925,000","110,098,000","7,279,000","-38,359,000","-40,278,000","-143,627,000","-78,089,000","-86,376,000","-59,116,000","-67,179,000","-105,237,000","-131,004,000","-146,616,000","-98,153,000","-161,431,000","-149,911,000","-129,371,000","-509,676,000","-63,332,000","-38,916,000","-23,907,000","-8,776,000","-21,301,000"
NetNonOperatingInterestIncomeExpense,"-15,503,000","-3,469,000","-5,159,000","-4,691,000","-2,184,000","-27,065,000","-22,447,000","-14,815,000","-373,000","7,550,000","4,122,000","4,570,000","3,281,000","-260,000","-2,269,000","-8,022,000","-10,834,000","-26,700,000","-26,732,000","-26,396,000","-25,409,000","19,000","-24,860,000","-24,934,000","-24,893,000","-24,183,000","-25,239,000","-24,437,000","-24,319,000","-23,513,000","-5,795,000","-2,110,000","-2,567,000","-2,387,000","-1,727,000","-1,513,000","-1,233,000","-830,000","-766,000"
	InterestIncomeNonOperating,"35,683,000","7,355,000","8,125,000","9,202,000","11,001,000","13,101,000","17,167,000","25,013,000","32,897,000","33,927,000","40,348,000","42,887,000","40,541,000","37,013,000","36,067,000","21,960,000","16,181,000",,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"51,186,000","10,824,000","13,284,000","13,893,000","13,185,000","40,166,000","39,614,000","39,828,000","33,270,000","26,377,000","36,226,000","38,317,000","37,260,000","37,273,000","38,336,000","29,982,000","27,015,000","26,700,000","26,732,000","26,396,000","25,409,000","25,281,000","24,860,000","24,934,000","24,893,000","24,183,000","25,239,000","24,437,000","24,319,000",,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,513,000","5,795,000","2,110,000","2,567,000","2,387,000","1,727,000","1,513,000","1,233,000","830,000","766,000"
OtherIncomeExpense,"-668,572,000","20,759,000","-745,076,000","55,739,000","6,000","-840,000","-3,977,000","-361,000","-7,719,000","-2,340,000","-504,000","7,523,000","-436,000","-111,000","-2,341,000","-5,735,000","-209,000","10,155,000","1,922,000","-48,320,000","7,322,000","-18,680,000","6,640,000","6,734,000","6,306,000","4,531,000","1,948,000","-695,000","9,125,000","1,000","-8,079,000","1,780,000","798,000","-2,725,000","818,000","-1,019,000","-1,529,000","-527,000","938,000"
	SpecialIncomeCharges,"-765,701,000","0","-765,701,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"765,701,000","0","765,701,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"97,129,000","20,759,000","20,625,000","55,739,000","6,000","-840,000","-3,977,000","-361,000","-7,719,000","-2,340,000","-504,000","7,523,000","-436,000","-111,000","-2,341,000","-5,735,000","-209,000","10,155,000","1,922,000","-48,320,000","7,322,000","-24,480,000","6,640,000","6,734,000","6,306,000","4,531,000","1,948,000","-695,000","9,125,000","1,000","-8,079,000","1,780,000","798,000","-2,725,000","818,000","-1,019,000","-1,529,000","-527,000","938,000"
PretaxIncome,"-411,113,000","184,665,000","-727,082,000","81,300,000","50,004,000","224,019,000","29,683,000","-289,106,000","-15,535,000","158,094,000","47,763,000","87,779,000","96,503,000","206,537,000","87,258,000","65,867,000","63,882,000","93,553,000","-17,531,000","-113,075,000","-58,365,000","-162,246,000","-96,309,000","-104,576,000","-77,703,000","-86,831,000","-128,528,000","-156,136,000","-161,810,000","-121,665,000","-175,305,000","-150,241,000","-131,140,000","-514,788,000","-64,241,000","-41,448,000","-26,669,000","-10,133,000","-21,129,000"
TaxProvision,"-189,704,000","2,971,000","-190,325,000","15,651,000","-18,001,000","1,903,000","1,024,000","1,088,899,000","-7,139,000","39,321,000","11,241,000","-1,031,781,000","-94,301,000","-48,766,000","-701,921,000","-34,250,000","2,885,000","2,474,000","3,564,000","3,413,000","3,194,000","4,808,000","6,562,000","2,641,000","2,028,000","3,405,000","3,162,000","-19,473,000","632,000","3,687,000","159,000","-5,599,000","1,222,000","-3,317,000","360,000","777,000","357,000","-1,428,000","461,000"
NetIncomeCommonStockholders,"-221,409,000","181,694,000","-536,757,000","65,649,000","68,005,000","222,116,000","28,659,000","-1,378,005,000","-8,396,000","118,773,000","36,522,000","1,119,560,000","190,804,000","255,303,000","789,179,000","100,117,000","60,997,000","91,079,000","-21,095,000","-116,488,000","-61,559,000","-167,054,000","-102,871,000","-107,217,000","-79,731,000","-90,236,000","-131,690,000","-136,663,000","-162,442,000","-125,352,000","-175,464,000","-144,642,000","-132,362,000","-511,471,000","-64,601,000","-42,225,000","-27,026,000","-8,705,000","-21,590,000"
	NetIncome,"-221,409,000","181,694,000","-536,757,000","65,649,000","68,005,000","222,116,000","28,659,000","-1,378,005,000","-8,396,000","118,773,000","36,522,000","1,119,560,000","190,804,000","255,303,000","789,179,000","100,117,000","60,997,000","91,079,000","-21,095,000","-116,488,000","-61,559,000","-167,054,000","-102,871,000","-107,217,000","-79,731,000","-90,236,000","-131,690,000","-136,663,000","-162,442,000","-125,352,000","-175,464,000","-144,642,000","-132,362,000","-511,471,000","-64,601,000","-42,225,000","-27,026,000","-8,705,000","-21,590,000"
		NetIncomeIncludingNoncontrollingInterests,"-221,409,000","181,694,000","-536,757,000","65,649,000","68,005,000","222,116,000","28,659,000","-1,378,005,000","-8,396,000","118,773,000","36,522,000","1,119,560,000","190,804,000","255,303,000","789,179,000","100,117,000","60,997,000","91,079,000","-21,095,000","-116,488,000","-61,559,000","-167,054,000","-102,871,000","-107,217,000","-79,731,000","-90,236,000","-131,690,000","-136,663,000","-162,442,000","-125,352,000","-175,464,000","-144,642,000","-132,362,000","-511,471,000","-64,601,000","-42,225,000","-27,026,000","-8,705,000","-21,590,000"
			NetIncomeContinuousOperations,"-221,409,000","181,694,000","-536,757,000","65,649,000","68,005,000","222,116,000","28,659,000","-1,378,005,000","-8,396,000","118,773,000","36,522,000","1,119,560,000","190,804,000","255,303,000","789,179,000","100,117,000","60,997,000","91,079,000","-21,095,000","-116,488,000","-61,559,000","-167,054,000","-102,871,000","-107,217,000","-79,731,000","-90,236,000","-131,690,000","-136,663,000","-162,442,000","-125,352,000","-175,464,000","-144,642,000","-132,362,000","-511,471,000","-64,601,000","-42,225,000","-27,026,000","-8,705,000","-21,590,000"
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0","0"
AverageDilutionEarnings,"0","2,895,000",,"2,852,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"-221,409,000","181,694,000","-536,757,000","68,501,000","68,005,000","222,116,000","28,659,000","-1,378,005,000","-8,396,000","118,773,000","36,522,000","1,119,560,000","190,804,000","255,303,000","789,179,000","100,117,000","60,997,000","91,079,000","-21,095,000","-116,488,000","-61,559,000","-167,054,000","-102,871,000","-107,217,000","-79,731,000","-90,236,000","-131,690,000","-136,663,000","-162,442,000","-125,352,000","-175,464,000","-144,642,000","-132,362,000","-511,471,000","-64,601,000","-42,225,000","-27,026,000","-8,705,000","-21,590,000"
BasicEPS,,"0.23","-0.67","0.08","0.09","0.28","0.04","-1.56","-0.01","0.15","0.05","1.46","0.25","0.34","1.04","0.13","0.08","0.12","-0.03","-0.16","-0.09","-0.23","-0.15","-0.15","-0.12","-0.13","-0.2","-0.21","-0.25","-0.2","-0.29","-0.24","-0.23","-1.41","-0.119","-0.09","-0.057",,
DilutedEPS,,"0.21","-0.67","0.08","0.08","0.27","0.04","-1.56","-0.01","0.15","0.05","1.43","0.25","0.33","1.02","0.13","0.08","0.12","-0.03","-0.16","-0.09","-0.23","-0.15","-0.15","-0.12","-0.13","-0.2","-0.21","-0.25","-0.2","-0.29","-0.24","-0.23","-1.41","-0.119","-0.09","-0.057",,
BasicAverageShares,,"799,370,000","797,985,000","796,472,000","795,633,000","793,789,000","790,827,000","785,909,000","780,688,000","776,647,000","772,789,000","768,755,000","764,550,000","760,525,000","756,537,000","752,351,000","747,697,000","741,822,000","736,515,000","730,069,000","722,048,000","713,618,000","704,359,000","698,326,000","691,564,000","681,424,000","670,604,000","655,721,000","640,464,000","629,310,000","614,395,000","595,607,000","570,205,000","362,624,000","544,696,816","471,052,000","471,052,000",,
DilutedAverageShares,,"865,030,000","797,985,000","869,180,000","872,187,000","816,368,000","806,383,000","785,909,000","780,688,000","788,684,000","790,523,000","785,056,000","777,689,000","776,129,000","776,002,000","772,556,000","765,861,000","754,631,000","736,515,000","730,069,000","722,048,000","713,618,000","704,359,000","698,326,000","691,564,000","681,424,000","670,604,000","655,721,000","640,464,000","629,310,000","614,395,000","595,607,000","570,205,000","362,624,000","544,696,816","471,052,000","471,052,000",,
TotalOperatingIncomeAsReported,"-492,739,000","167,375,000","-742,548,000","30,252,000","52,182,000","251,924,000","56,107,000","-273,930,000","-7,443,000","152,884,000","44,145,000","75,686,000","93,658,000","206,908,000","91,868,000","79,624,000","74,925,000","110,098,000","7,279,000","-38,359,000","-40,278,000","-143,627,000","-78,089,000","-86,376,000","-59,116,000","-67,179,000","-105,237,000","-131,004,000","-146,616,000","-98,153,000","-161,431,000","-149,911,000","-129,371,000","-509,676,000","-63,332,000","-38,916,000","-23,907,000","-8,776,000","-21,301,000"
TotalExpenses,"4,804,520,000","1,399,845,000","1,260,664,000","1,160,175,000","983,836,000","1,037,117,000","880,126,000","957,368,000","815,080,000","854,457,000","779,572,000","765,695,000","693,232,000","701,928,000","666,243,000","630,917,000","589,946,000","621,462,000","582,354,000","612,214,000","588,529,000","860,833,000","694,023,000","688,334,000","653,637,000","777,652,000","674,474,000","633,387,000","582,555,000","577,231,000","522,697,000","462,077,000","379,863,000","752,351,000","231,912,000","178,208,000","138,250,000","121,023,000","103,628,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-221,409,000","181,694,000","-536,757,000","65,649,000","68,005,000","222,116,000","28,659,000","-1,378,005,000","-8,396,000","118,773,000","36,522,000","1,119,560,000","190,804,000","255,303,000","789,179,000","100,117,000","60,997,000","91,079,000","-21,095,000","-116,488,000","-61,559,000","-167,054,000","-102,871,000","-107,217,000","-79,731,000","-90,236,000","-131,690,000","-136,663,000","-162,442,000","-125,352,000","-175,464,000","-144,642,000","-132,362,000","-511,471,000","-64,601,000","-42,225,000","-27,026,000","-8,705,000","-21,590,000"
NormalizedIncome,"337,552,730","181,694,000","28,509,877.267","65,649,000","68,005,000","222,116,000","28,659,000","-1,378,005,000","-8,396,000","118,773,000","36,522,000","1,119,560,000","190,804,000","255,303,000","789,179,000","100,117,000","60,997,000","91,079,000","-21,095,000","-116,488,000","-61,559,000","-167,054,000","-102,871,000","-107,217,000","-79,731,000","-90,236,000","-131,690,000","-136,663,000","-162,442,000","-125,352,000","-175,464,000","-144,642,000","-132,362,000","-511,471,000","-64,601,000","-42,225,000","-27,026,000","-8,705,000","-21,590,000"
InterestIncome,"35,683,000","7,355,000","8,125,000","9,202,000","11,001,000","13,101,000","17,167,000","25,013,000","32,897,000","33,927,000","40,348,000","42,887,000","40,541,000","37,013,000","36,067,000","21,960,000","16,181,000",,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"51,186,000","10,824,000","13,284,000","13,893,000","13,185,000","40,166,000","39,614,000","39,828,000","33,270,000","26,377,000","36,226,000","38,317,000","37,260,000","37,273,000","38,336,000","29,982,000","27,015,000","26,700,000","26,732,000","26,396,000","25,409,000","25,281,000","24,860,000","24,934,000","24,893,000","24,183,000","25,239,000","24,437,000","24,319,000",,,,,,,,,,
NetInterestIncome,"-15,503,000","-3,469,000","-5,159,000","-4,691,000","-2,184,000","-27,065,000","-22,447,000","-14,815,000","-373,000","7,550,000","4,122,000","4,570,000","3,281,000","-260,000","-2,269,000","-8,022,000","-10,834,000","-26,700,000","-26,732,000","-26,396,000","-25,409,000","19,000","-24,860,000","-24,934,000","-24,893,000","-24,183,000","-25,239,000","-24,437,000","-24,319,000","-23,513,000","-5,795,000","-2,110,000","-2,567,000","-2,387,000","-1,727,000","-1,513,000","-1,233,000","-830,000","-766,000"
EBIT,"-359,927,000","195,489,000","-713,798,000","95,193,000","63,189,000","264,185,000","69,297,000","-249,278,000","17,735,000","184,471,000","83,989,000","126,096,000","133,763,000","243,810,000","125,594,000","95,849,000","90,897,000","120,253,000","9,201,000","-86,679,000","-32,956,000","-136,965,000","-71,449,000","-79,642,000","-52,810,000","-62,648,000","-103,289,000","-131,699,000","-137,491,000","-98,153,000","-161,431,000","-149,911,000","-129,371,000","-509,676,000","-63,332,000","-38,916,000","-23,907,000","-8,776,000","-21,301,000"
EBITDA,"184,921,000"
ReconciledCostOfRevenue,"1,797,510,000","515,091,000","484,479,000","416,932,000","381,008,000","432,924,000","361,388,000","288,039,000","284,037,000","314,008,000","281,057,000","277,965,000","264,011,000","268,345,000","243,644,000","230,185,000","222,823,000","217,979,000","210,016,000","212,908,000","220,339,000","305,710,000","225,159,000","202,966,000","198,405,000","217,963,000","200,195,000","167,623,000","143,475,000","136,613,000","124,166,000","100,027,000","85,503,000","112,651,000","62,239,000","50,573,000","41,255,000","36,918,000","33,693,000"
ReconciledDepreciation,"544,848,000","145,536,000","133,448,000","134,812,000","131,052,000","128,708,000","121,983,000","123,837,000","120,649,000","116,473,000","119,986,000","115,616,000","113,474,000","110,723,000","111,947,000","105,982,000","96,846,000","92,520,000","97,492,000","103,063,000","102,792,000","119,390,000","100,878,000","93,283,000","88,621,000","87,446,000","81,464,000","76,049,000","67,864,000","62,428,000","60,155,000","45,631,000","39,951,000","33,224,000","29,023,000","25,917,000","22,730,000","21,001,000","19,956,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-221,409,000","181,694,000","-536,757,000","65,649,000","68,005,000","222,116,000","28,659,000","-1,378,005,000","-8,396,000","118,773,000","36,522,000","1,119,560,000","190,804,000","255,303,000","789,179,000","100,117,000","60,997,000","91,079,000","-21,095,000","-116,488,000","-61,559,000","-167,054,000","-102,871,000","-107,217,000","-79,731,000","-90,236,000","-131,690,000","-136,663,000","-162,442,000","-125,352,000","-175,464,000","-144,642,000","-132,362,000","-511,471,000","-64,601,000","-42,225,000","-27,026,000","-8,705,000","-21,590,000"
TotalUnusualItemsExcludingGoodwill,"-765,701,000","0","-765,701,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalUnusualItems,"-765,701,000","0","-765,701,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NormalizedEBITDA,"950,622,000","341,025,000","185,351,000","230,005,000","194,241,000","392,893,000","191,280,000","-125,441,000","138,384,000","300,944,000","203,975,000","241,712,000","247,237,000","354,533,000","237,541,000","201,831,000","187,743,000","212,773,000","106,693,000","16,384,000","69,836,000","-17,575,000","29,429,000","13,641,000","35,811,000","24,798,000","-21,825,000","-55,650,000","-69,627,000","-35,725,000","-101,276,000","-104,280,000","-89,420,000","-476,452,000","-34,309,000","-12,999,000","-1,177,000","12,225,000","-1,345,000"
TaxRateForCalcs,"0.27","0.016","0.262","0.193","0.27","0.008","0.034","0.27","0.27","0.249","0.235","0.27","0.27","0.27","0.27","0.27","0.045","0.026","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.125","0.4","0.35","0.35","0.037","0.35","0.006","0.35","0.35","0.35","0.141","0.35"
TaxEffectOfUnusualItems,"-206,739,270","0","-200,434,122.733","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"