name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,12/31/2004
			NetIncomeContinuousOperations,"360,060,000","109,657,000","113,444,000","59,207,000","77,752,000","184,453,000","38,946,000","-182,895,000","-589,681,000","-15,304,000","102,315,000","-17,349,000","22,477,000","4,218,000","75,266,000","-95,544,000","-30,244,000","-87,920,000","54,242,000","-12,308,000","-2,272,000","103,231,000","128,225,000","6,344,000","19,180,000","105,602,000","100,477,000","14,766,000","11,728,000","87,709,000","89,105,000","17,690,000","13,538,000","64,166,000","72,784,000","17,566,000","7,814,000","50,132,000","57,317,000","6,668,000","14,661,000","32,552,000","45,987,000","6,241,000","12,139,000","22,948,000","34,857,000","3,502,000","7,170,000","15,202,000","26,182,000","1,439,000","3,962,000","8,321,000","25,663,000","1,375,000","2,870,000","16,875,000","20,030,000","5,712,000","9,941,000","11,851,000","15,970,000","2,424,000","8,734,000","6,994,000","4,242,000","6,160,000"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,511,000","599,000","498,000"
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,,,"0","0","0",,"0","0","59,000,000",,,,,,,,,,"64,000","73,000","18,000","8,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"360,060,000","109,657,000","113,444,000","59,207,000","77,752,000","184,453,000","38,946,000","-182,895,000","-589,681,000","-15,304,000","102,315,000","-17,349,000","22,477,000","4,218,000","75,266,000","-95,544,000","-30,244,000","-87,920,000","54,242,000","-12,308,000","-2,272,000","103,231,000","128,225,000","6,344,000","19,180,000","105,602,000","100,477,000","14,766,000","11,728,000","87,709,000","89,105,000","17,690,000","13,538,000","64,102,000","72,711,000","17,548,000","7,806,000","49,746,000","57,317,000","6,668,000","14,661,000","32,552,000","45,987,000","6,241,000","12,139,000","22,948,000","34,857,000","3,502,000","7,170,000","15,202,000","26,182,000","1,439,000","3,962,000","8,321,000","25,663,000","1,375,000","2,870,000","16,875,000","20,030,000","5,712,000","9,941,000","11,851,000","15,970,000","2,424,000","8,734,000","3,483,000","3,643,000","5,662,000"
BasicEPS,,"0.23","0.24","0.13","0.17","0.41","0.09","-0.4","-1.3","-0.03","0.23","-0.04","0.05","0.01","0.17","-0.21","-0.07","-0.2","0.12","-0.03","-0.01","0.24","0.29","-0.12","0.04","0.245","0.235","0.035","0.025","0.205","0.21","0.04","0.03","0.153","0.173","0.043","0.018","0.12","0.138","0.015","0.035",,"0.111","0.015","0.03",,"0.085","0.009","0.018",,"0.065","0.004","0.01",,"0.066","0.004","0.008",,"0.053","0.015","0.026",,"0.043","0.006","0.024",,"0.013",
DilutedEPS,,"0.23","0.24","0.13","0.17","0.4","0.09","-0.4","-1.3","-0.03","0.23","-0.04","0.05","0.01","0.17","-0.21","-0.07","-0.2","0.12","-0.03","-0.01","0.23","0.29","-0.12","0.04","0.24","0.225","0.035","0.025","0.2","0.205","0.04","0.03","0.148","0.17","0.04","0.018","0.118","0.135","0.015","0.035",,"0.11","0.015","0.029",,"0.085","0.009","0.018",,"0.065","0.004","0.01",,"0.064","0.004","0.008",,"0.05","0.014","0.025",,"0.04","0.006","0.023",,"0.012",
BasicAverageShares,,"476,178,000","470,002,000","459,604,000","456,014,000","454,811,000","454,541,000","454,121,000","452,871,000","451,629,000","451,385,000","451,066,000","449,749,000","448,438,000","447,070,000","444,626,000","443,052,000","441,826,000","441,275,000","440,423,000","439,360,000","438,260,000","437,830,000","435,543,000","433,626,000","431,896,000","431,486,000","431,180,000","429,394,000","427,590,000","427,044,000","426,376,000","424,766,000","422,784,000","422,108,000","421,060,000","419,592,000","418,748,000","418,060,000","417,296,000","415,384,000",,"412,464,000","412,680,000","411,552,000",,"407,408,000","406,112,000","403,352,000",,"400,368,000","397,808,000","395,360,000",,"389,176,000","388,224,000","387,296,000",,"385,464,000","383,800,000","380,952,000",,"377,312,000","375,152,000","371,888,000",,"286,968,000",
DilutedAverageShares,,"479,728,000","473,116,000","462,286,000","459,226,000","457,869,000","456,674,000","454,121,000","452,871,000","451,629,000","454,695,000","451,066,000","453,230,000","452,497,000","451,035,000","444,626,000","443,052,000","441,826,000","448,439,000","440,423,000","439,360,000","447,579,000","445,853,000","442,872,000","443,260,000","442,614,000","442,106,000","439,842,000","439,232,000","439,490,000","435,964,000","434,588,000","433,824,000","433,304,000","431,072,000","429,668,000","428,384,000","428,484,000","427,180,000","423,888,000","422,824,000",,"420,224,000","420,136,000","419,088,000",,"409,344,000","408,472,000","407,304,000",,"405,992,000","404,616,000","403,440,000",,"399,472,000","398,736,000","399,592,000",,"400,680,000","399,080,000","398,544,000",,"396,792,000","395,488,000","395,992,000",,"304,512,000",
TotalOperatingIncomeAsReported,"486,290,000","86,131,000","172,064,000","121,205,000","106,890,000","55,846,000","58,570,000","-169,674,000","-558,180,000","74,073,000","138,920,000","-11,482,000","35,259,000","-10,448,000","118,966,000","-104,875,000","-28,661,000","-37,088,000","62,180,000","-4,785,000","7,536,000","163,900,000","199,310,000","19,378,000","34,883,000","177,582,000","171,397,000","31,901,000","27,667,000","146,299,000","146,106,000","34,694,000","26,856,000","98,467,000","120,829,000","32,310,000","13,492,000","81,592,000","90,980,000","11,720,000","24,403,000","55,302,000","74,965,000","11,358,000","21,142,000","35,190,000","56,689,000","6,892,000","13,584,000","26,933,000","47,063,000","3,381,000","7,896,000","22,873,000","46,479,000","3,274,000","4,299,000","28,254,000","34,483,000","8,165,000","16,037,000","17,745,000","21,983,000","3,369,000","14,180,000","12,864,000","7,675,000","9,668,000"
TotalExpenses,"5,156,658,000","1,428,938,000","1,356,812,000","1,227,716,000","1,143,192,000","1,295,922,000","1,300,250,000","838,377,000","1,051,957,000","1,367,152,000","1,290,536,000","1,203,211,000","1,169,463,000","1,352,199,000","1,305,409,000","1,200,894,000","1,176,551,000","1,366,497,000","1,258,437,000","1,093,030,000","1,109,795,000","1,141,377,000","1,272,263,000","981,405,000","1,012,819,000","993,104,000","1,032,712,000","751,676,000","777,274,000","748,902,000","791,802,000","574,960,000","614,751,000","584,289,000","602,317,000","422,231,000","458,116,000","424,271,000","484,216,000","357,753,000","359,986,000","347,824,000","390,558,000","279,978,000","291,557,000","265,976,000","271,879,000","197,894,000","215,823,000","195,284,000","222,483,000","161,267,000","192,104,000","156,406,000","185,467,000","153,403,000","153,043,000","146,584,000","152,380,000","112,366,000","108,292,000","117,538,000","105,762,000","76,596,000","73,516,000","74,439,000","56,908,000","59,977,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"360,060,000","109,657,000","113,444,000","59,207,000","77,752,000","184,453,000","38,946,000","-182,895,000","-589,681,000","-15,304,000","102,315,000","-17,349,000","22,477,000","4,218,000","75,266,000","-95,544,000","-30,244,000","-87,920,000","54,242,000","-12,308,000","-2,272,000","103,231,000","128,225,000","6,344,000","19,180,000","105,602,000","100,477,000","14,766,000","11,728,000","87,709,000","89,105,000","17,690,000","13,538,000","64,166,000","72,784,000","17,566,000","7,814,000","50,132,000","57,317,000","6,668,000","14,661,000","32,552,000","45,987,000","6,241,000","12,139,000","22,948,000","34,857,000","3,502,000","7,170,000","15,202,000","26,182,000","1,439,000","3,962,000","8,321,000","25,663,000","1,375,000","2,870,000","16,875,000","20,030,000","5,712,000","9,941,000","11,851,000","15,970,000","2,424,000","8,734,000","6,994,000","4,242,000","6,160,000"
NormalizedIncome,"397,255,524","119,976,280","127,734,848","61,443,728","84,047,005","228,232,347.989","93,112,730","-144,619,929","-271,063,010","-15,304,000","102,315,000","-17,349,000","22,477,000","39,425,170","88,416,907","-33,654,600","2,775,880","-66,348,800","105,240,800","-12,308,000","-2,272,000","103,231,000","128,225,000","6,344,000","19,180,000","105,602,000","100,477,000","14,766,000","11,728,000","87,709,000","89,105,000","17,690,000","13,538,000","64,166,000","72,784,000","17,566,000","7,814,000","50,132,000","57,336,820.483","6,356,296.975","14,609,024.125","32,551,395.955","46,746,657.865","6,476,300","12,447,726.375","23,042,567.764","34,971,605.865","3,610,550","7,615,250","15,369,700","26,119,600","1,674,300","3,953,550","11,026,950","26,791,400","1,885,900","2,564,000","16,929,000","19,591,900","4,737,000","9,489,900","11,851,000","15,970,000","2,424,000","8,734,000","6,994,000","4,242,000","6,160,000"
InterestExpense,,,,,"14,137,000","15,008,000","14,955,000","11,336,000","5,960,000","5,359,000","5,655,000","5,988,000","4,238,000","7,302,000","9,151,000","8,552,000","8,564,000","9,301,000","9,575,000","7,841,000","7,820,000","7,958,000","8,189,000","5,754,000","4,532,000","4,056,000","4,100,000","4,262,000","2,210,000","1,727,000","1,535,000","1,227,000","846,000","806,000","691,000","711,000","725,000","1,205,000","1,303,000","1,320,000","1,355,000","1,413,000","1,552,000","297,000","579,000","590,000","542,000",,"546,000","435,000","466,000","583,000","860,000",,,,,,,,,,,,,,,
NetInterestIncome,"-44,300,000","-7,595,000","-9,261,000","-13,307,000","-14,137,000","-15,008,000","-14,955,000","-11,336,000","-5,960,000","-5,359,000","-5,655,000","-5,988,000","-4,238,000","-7,302,000","-9,151,000","-8,552,000","-8,564,000","-9,301,000","-9,575,000","-7,841,000","-7,820,000","-7,958,000","-8,189,000","-5,754,000","-4,532,000","-4,056,000","-4,100,000","-4,262,000","-2,210,000","-1,727,000","-1,535,000","-1,227,000","-846,000","-806,000","-691,000","-711,000","-725,000","-1,205,000","-1,303,000","-1,320,000","-1,355,000","-1,413,000","-1,552,000","-297,000","-579,000","-590,000","-542,000","-580,000","-546,000","-435,000","-466,000","-583,000","-860,000",,,,,,,,,,,,,,,
EBIT,"526,808,000","100,267,000","188,720,000","123,818,000","99,710,000","234,492,000","51,386,000","-174,517,000","-556,646,000","70,609,000","138,491,000","-12,610,000","34,592,000","-10,176,000","114,672,000","-112,944,000","-25,773,000","-39,319,000","61,111,000","-7,669,000","10,106,000","162,170,000","198,538,000","16,423,000","37,585,000","175,386,000","168,158,000","31,942,000","25,827,000","143,871,000","142,751,000","34,941,000","25,982,000","97,965,000","120,716,000","31,513,000","13,732,000","80,958,000","90,949,000","12,230,000","24,485,000","55,303,000","73,772,000","10,996,000","20,632,000","35,048,000","56,505,000","6,892,000","12,899,000","26,675,000","47,159,000","3,019,000","7,909,000","22,873,000","46,479,000","3,274,000","4,299,000","28,254,000","34,483,000","8,165,000","16,037,000","17,745,000","21,983,000","3,369,000","14,180,000","12,864,000","7,675,000","9,668,000"
EBITDA,"667,952,000"
ReconciledCostOfRevenue,"2,821,967,000","753,272,000","757,428,000","682,713,000","628,554,000","710,144,000","746,701,000","358,471,000","499,256,000","759,698,000","739,558,000","637,408,000","659,935,000","764,753,000","777,769,000","648,275,000","661,917,000","775,658,000","760,265,000","589,999,000","611,908,000","721,573,000","772,949,000","523,136,000","567,066,000","609,016,000","616,949,000","404,524,000","427,277,000","448,937,000","472,608,000","309,702,000","340,917,000","332,403,000","373,011,000","234,910,000","255,057,000","251,628,000","294,805,000","200,006,000","209,185,000","195,221,000","240,422,000","156,557,000","167,648,000","145,588,000","161,196,000","104,860,000","121,776,000","108,076,000","135,491,000","90,370,000","109,449,000","88,337,000","113,679,000","85,773,000","82,507,000","83,991,000","92,346,000","61,432,000","63,748,000","66,877,000","63,070,000","41,758,000","43,384,000","44,807,000","33,465,000","35,828,000"
ReconciledDepreciation,"141,144,000","33,297,000","37,188,000","35,147,000","35,512,000","40,815,000","37,250,000","38,354,000","48,565,000","45,982,000","46,722,000","47,257,000","46,464,000","46,739,000","43,758,000","45,173,000","46,098,000","45,259,000","45,121,000","42,354,000","41,013,000","39,388,000","37,645,000","35,716,000","32,021,000","28,729,000","26,147,000","24,756,000","21,308,000","19,702,000","18,044,000","17,027,000","17,320,000","14,497,000","12,434,000","11,776,000","11,842,000","11,327,000","11,041,000","10,123,000","10,591,000","10,333,000","9,238,000","8,117,000","8,613,000","8,130,000","7,842,000","7,752,000","7,597,000","7,454,000","7,262,000","6,701,000","6,832,000","5,864,000","5,710,000","5,283,000","4,490,000","4,626,000","3,880,000","3,144,000","2,972,000","3,050,000","2,691,000","2,245,000","1,838,000","2,164,000",,"987,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"360,060,000","109,657,000","113,444,000","59,207,000","77,752,000","184,453,000","38,946,000","-182,895,000","-589,681,000","-15,304,000","102,315,000","-17,349,000","22,477,000","4,218,000","75,266,000","-95,544,000","-30,244,000","-87,920,000","54,242,000","-12,308,000","-2,272,000","103,231,000","128,225,000","6,344,000","19,180,000","105,602,000","100,477,000","14,766,000","11,728,000","87,709,000","89,105,000","17,690,000","13,538,000","64,166,000","72,784,000","17,566,000","7,814,000","50,132,000","57,317,000","6,668,000","14,661,000","32,552,000","45,987,000","6,241,000","12,139,000","22,948,000","34,857,000","3,502,000","7,170,000","15,202,000","26,182,000","1,439,000","3,962,000","8,321,000","25,663,000","1,375,000","2,870,000","16,875,000","20,030,000","5,712,000","9,941,000","11,851,000","15,970,000","2,424,000","8,734,000","6,994,000","4,242,000","6,160,000"
TotalUnusualItemsExcludingGoodwill,"-40,518,000","-14,136,000","-16,656,000","-2,613,000","-7,113,000","-51,998,000","-74,201,000","-38,937,000","-436,463,000","0","0","0","0","-48,229,000","-18,601,000","-78,840,000","-37,480,000","-35,952,000","-84,998,000",,,,,,,,,,,,,,,,,,,,"-31,000","510,000","82,000","1,000","-1,193,000","-362,000","-510,000","-142,000","-184,000","-167,000","-685,000","-258,000","96,000","-362,000","13,000","-4,163,000","-1,736,000","-786,000","510,000","-90,000","674,000","1,500,000","694,000",,,,,,,
TotalUnusualItems,"-40,518,000","-14,136,000","-16,656,000","-2,613,000","-7,113,000","-51,998,000","-74,201,000","-38,937,000","-436,463,000","0","0","0","0","-48,229,000","-18,601,000","-78,840,000","-37,480,000","-35,952,000","-84,998,000",,,,,,,,,,,,,,,,,,,,"-31,000","510,000","82,000","1,000","-1,193,000","-362,000","-510,000","-142,000","-184,000","-167,000","-685,000","-258,000","96,000","-362,000","13,000","-4,163,000","-1,736,000","-786,000","510,000","-90,000","674,000","1,500,000","694,000",,,,,,,
NormalizedEBITDA,"708,470,000","147,700,000","242,564,000","161,578,000","142,335,000","327,305,000","162,837,000","-97,226,000","-71,618,000","116,591,000","185,213,000","34,647,000","81,056,000","84,792,000","177,031,000","11,069,000","57,805,000","41,892,000","191,230,000","34,685,000","51,119,000","201,558,000","236,183,000","52,139,000","69,606,000","204,115,000","194,305,000","56,698,000","47,135,000","163,573,000","160,795,000","51,968,000","43,302,000","112,462,000","133,150,000","43,289,000","25,574,000","92,285,000","102,021,000","21,843,000","34,994,000","65,635,000","84,203,000","19,475,000","29,755,000","43,320,000","64,531,000","14,811,000","21,181,000","34,387,000","54,325,000","10,082,000","14,728,000","32,900,000","53,925,000","9,343,000","8,279,000","32,970,000","37,689,000","9,809,000","18,315,000","20,795,000","24,674,000","5,614,000","16,018,000","15,028,000","7,675,000","10,655,000"
TaxRateForCalcs,"0.082","0.27","0.142","0.144","0.115","0.158","0.27","0.017","0.27","0.27","0.221","0.309","0.268","0.27","0.293","0.215","0.119","0.4","0.4","0.206","0.4","0.331","0.326","0.4","0.4","0.384","0.388","0.4","0.4","0.383","0.369","0.35","0.35","0.34","0.394","0.35","0.399","0.371","0.361","0.389","0.366","0.396","0.363","0.35","0.395","0.334","0.377","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.4","0.4","0.35","0.35","0.35","0.359","0.279","0.354","0.4","0.4","0.391","0.326"
TaxEffectOfUnusualItems,"-3,322,476","-3,816,720","-2,365,152","-376,272","-817,995","-8,218,652.011","-20,034,270","-661,929","-117,845,010","0","0","0","0","-13,021,830","-5,450,093","-16,950,600","-4,460,120","-14,380,800","-33,999,200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-11,179.517","198,296.975","30,024.125","395.955","-433,342.135","-126,700","-201,273.625","-47,432.236","-69,394.135","-58,450","-239,750","-90,300","33,600","-126,700","4,550","-1,457,050","-607,600","-275,100","204,000","-36,000","235,900","525,000","242,900","0","0","0","0","0","0","0"